available_on,swing_date,value,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,confluence_windows,seed_reason
2021-06-15 23:59:59.999000+00:00,2021-06-15 23:59:59.999000+00:00,41413.0,40900.0,4,4,0,"1,3,7,10",post_confirmation_seed
2021-07-26 23:59:59.999000+00:00,2021-07-26 23:59:59.999000+00:00,48168.6,36623.0,5,5,0,"1,3,7,10,30",better_extreme
2021-08-14 23:59:59.999000+00:00,2021-08-14 23:59:59.999000+00:00,48300.0,48168.6,5,5,0,"1,3,7,10,30",better_extreme
2021-08-26 23:59:59.999000+00:00,2021-08-26 23:59:59.999000+00:00,49380.0,48300.0,1,1,0,1,post_confirmation_seed
2021-08-29 23:59:59.999000+00:00,2021-08-29 23:59:59.999000+00:00,49769.2,48300.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-09-02 23:59:59.999000+00:00,2021-09-02 23:59:59.999000+00:00,50420.0,48300.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-09-03 23:59:59.999000+00:00,2021-09-03 23:59:59.999000+00:00,51111.0,48300.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-09-05 23:59:59.999000+00:00,2021-09-05 23:59:59.999000+00:00,51950.0,48300.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-09-06 23:59:59.999000+00:00,2021-09-06 23:59:59.999000+00:00,52830.0,48300.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-10-03 23:59:59.999000+00:00,2021-10-03 23:59:59.999000+00:00,49304.12,48850.0,4,4,0,"1,3,7,10",better_extreme
2021-10-05 23:59:59.999000+00:00,2021-10-05 23:59:59.999000+00:00,51888.0,48850.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-10-06 23:59:59.999000+00:00,2021-10-06 23:59:59.999000+00:00,56416.02,48850.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-10-10 23:59:59.999000+00:00,2021-10-10 23:59:59.999000+00:00,56789.0,48850.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-10-11 23:59:59.999000+00:00,2021-10-11 23:59:59.999000+00:00,57880.0,48850.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-10-14 23:59:59.999000+00:00,2021-10-14 23:59:59.999000+00:00,58586.67,48850.0,6,5,1,"1,3,7,10,30,90",better_extreme
2021-10-15 23:59:59.999000+00:00,2021-10-15 23:59:59.999000+00:00,63997.61,48850.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2021-10-19 23:59:59.999000+00:00,2021-10-19 23:59:59.999000+00:00,64500.0,48850.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2021-10-20 23:59:59.999000+00:00,2021-10-20 23:59:59.999000+00:00,67150.0,48850.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2021-11-08 23:59:59.999000+00:00,2021-11-08 23:59:59.999000+00:00,67932.89,67150.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2021-11-09 23:59:59.999000+00:00,2021-11-09 23:59:59.999000+00:00,68675.16,67150.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2021-11-10 23:59:59.999000+00:00,2021-11-10 23:59:59.999000+00:00,69198.7,67150.0,9,5,4,"1,3,7,10,30,90,180,300,365",better_extreme
2022-02-07 23:59:59.999000+00:00,2022-02-07 23:59:59.999000+00:00,44541.16,44396.68,5,5,0,"1,3,7,10,30",better_extreme
2022-02-08 23:59:59.999000+00:00,2022-02-08 23:59:59.999000+00:00,45600.0,44396.68,5,5,0,"1,3,7,10,30",better_extreme
2022-02-10 23:59:59.999000+00:00,2022-02-10 23:59:59.999000+00:00,45847.5,44396.68,5,5,0,"1,3,7,10,30",better_extreme
2022-03-24 23:59:59.999000+00:00,2022-03-24 23:59:59.999000+00:00,44200.0,44080.0,4,4,0,"1,3,7,10",better_extreme
2022-03-25 23:59:59.999000+00:00,2022-03-25 23:59:59.999000+00:00,45142.0,44080.0,5,5,0,"1,3,7,10,30",better_extreme
2022-03-27 23:59:59.999000+00:00,2022-03-27 23:59:59.999000+00:00,47047.0,44080.0,5,5,0,"1,3,7,10,30",better_extreme
2022-03-28 23:59:59.999000+00:00,2022-03-28 23:59:59.999000+00:00,48200.0,44080.0,5,5,0,"1,3,7,10,30",better_extreme
2022-06-06 23:59:59.999000+00:00,2022-06-06 23:59:59.999000+00:00,31780.0,31462.0,4,4,0,"1,3,7,10",better_extreme
2022-07-07 23:59:59.999000+00:00,2022-07-07 23:59:59.999000+00:00,21830.0,21740.0,4,4,0,"1,3,7,10",post_confirmation_seed
2022-07-08 23:59:59.999000+00:00,2022-07-08 23:59:59.999000+00:00,22579.9,21740.0,4,4,0,"1,3,7,10",better_extreme
2022-07-20 23:59:59.999000+00:00,2022-07-20 23:59:59.999000+00:00,24277.0,22579.9,5,5,0,"1,3,7,10,30",post_confirmation_seed
2022-08-11 23:59:59.999000+00:00,2022-08-11 23:59:59.999000+00:00,24972.0,24277.0,5,5,0,"1,3,7,10,30",better_extreme
2022-08-14 23:59:59.999000+00:00,2022-08-14 23:59:59.999000+00:00,25065.0,24277.0,5,5,0,"1,3,7,10,30",better_extreme
2022-08-15 23:59:59.999000+00:00,2022-08-15 23:59:59.999000+00:00,25200.0,24277.0,5,5,0,"1,3,7,10,30",better_extreme
2022-10-26 23:59:59.999000+00:00,2022-10-26 23:59:59.999000+00:00,21030.0,20500.0,5,5,0,"1,3,7,10,30",better_extreme
2023-01-12 23:59:59.999000+00:00,2023-01-12 23:59:59.999000+00:00,19120.0,18400.0,5,5,0,"1,3,7,10,30",better_extreme
2023-01-13 23:59:59.999000+00:00,2023-01-13 23:59:59.999000+00:00,19997.8,18400.0,5,5,0,"1,3,7,10,30",better_extreme
2023-01-14 23:59:59.999000+00:00,2023-01-14 23:59:59.999000+00:00,21544.0,18400.0,6,5,1,"1,3,7,10,30,90",better_extreme
