date,ticker,open,high,low,close,volume,atr,active_side_asof,last_confirmed_side_asof,market_bias_asof,market_bias_after_close,bos_up_on_close_flag,bos_down_on_close_flag,choch_up_on_close_flag,choch_down_on_close_flag,choch_any_on_close_flag,bos_any_on_close_flag,structure_break_event_on_close,structure_break_level_kind_on_close,structure_break_level_value_on_close,structure_break_threshold_on_close,high_break_attempt_on_close_flag,low_break_attempt_on_close_flag,confirmed_high_on_close_flag,confirmed_low_on_close_flag,confirmed_high_label_on_close,confirmed_low_label_on_close,confirmed_high_value_on_close,confirmed_low_value_on_close,confirmed_high_swing_date_on_close,confirmed_low_swing_date_on_close,confirmed_high_bars_to_confirmation_on_close,confirmed_low_bars_to_confirmation_on_close,confirmation_event_on_close,high_candidate_value_asof,high_candidate_date_asof,high_candidate_bars_active_asof,high_candidate_confluence_count_asof,high_candidate_confluence_short_hits_asof,high_candidate_confluence_long_hits_asof,high_candidate_breaks_structure_asof,high_confirmed_value_asof,high_confirmed_swing_date_asof,high_confirmed_available_on_asof,high_confirmed_structure_label_asof,high_confirmed_breaks_structure_asof,low_candidate_value_asof,low_candidate_date_asof,low_candidate_bars_active_asof,low_candidate_confluence_count_asof,low_candidate_confluence_short_hits_asof,low_candidate_confluence_long_hits_asof,low_candidate_breaks_structure_asof,low_confirmed_value_asof,low_confirmed_swing_date_asof,low_confirmed_available_on_asof,low_confirmed_structure_label_asof,low_confirmed_breaks_structure_asof
2021-04-04 23:59:59.999000+00:00,BTC/USDT,57134.65,58553.0,56517.23,58234.61,152454.122,2035.7699999999968,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,,,0,0,0,0,False,,,,,False,,,0,0,0,0,False,,,,,False
2021-04-05 23:59:59.999000+00:00,BTC/USDT,58234.61,59385.0,56808.94,59243.39,174338.646,2305.9149999999972,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,58553.0,2021-04-04 23:59:59.999000+00:00,0,0,0,0,False,,,,,False,56517.23,2021-04-04 23:59:59.999000+00:00,0,0,0,0,False,,,,,False
2021-04-06 23:59:59.999000+00:00,BTC/USDT,59243.4,59626.18,57500.0,58059.99,165562.029,2246.0033333333317,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,59385.0,2021-04-05 23:59:59.999000+00:00,0,1,1,0,False,,,,,False,56517.23,2021-04-04 23:59:59.999000+00:00,1,1,1,0,False,,,,,False
2021-04-07 23:59:59.999000+00:00,BTC/USDT,58060.0,58720.0,55536.07,56018.18,265271.707,2480.4849999999988,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,59626.18,2021-04-06 23:59:59.999000+00:00,0,1,1,0,False,,,,,False,56517.23,2021-04-04 23:59:59.999000+00:00,2,1,1,0,False,,,,,False
2021-04-08 23:59:59.999000+00:00,BTC/USDT,56018.17,58200.0,55759.13,58122.26,161389.858,2472.5619999999994,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,59626.18,2021-04-06 23:59:59.999000+00:00,1,2,2,0,False,,,,,False,55536.07,2021-04-07 23:59:59.999000+00:00,0,2,2,0,False,,,,,False
2021-04-09 23:59:59.999000+00:00,BTC/USDT,58122.93,58950.0,57700.0,58176.03,141690.144,2268.8016666666663,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,59626.18,2021-04-06 23:59:59.999000+00:00,2,2,2,0,False,,,,,False,55536.07,2021-04-07 23:59:59.999000+00:00,1,2,2,0,False,,,,,False
2021-04-10 23:59:59.999000+00:00,BTC/USDT,58176.04,61800.0,57943.95,59832.43,240907.592,2495.5514285714285,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,59626.18,2021-04-06 23:59:59.999000+00:00,3,4,4,0,False,,,,,False,55536.07,2021-04-07 23:59:59.999000+00:00,2,4,4,0,False,,,,,False
2021-04-11 23:59:59.999000+00:00,BTC/USDT,59832.43,60816.88,59304.02,60090.2,148499.824,2372.715,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,61800.0,2021-04-10 23:59:59.999000+00:00,0,4,4,0,False,,,,,False,55536.07,2021-04-07 23:59:59.999000+00:00,3,4,4,0,False,,,,,False
2021-04-12 23:59:59.999000+00:00,BTC/USDT,60093.26,61449.91,59500.0,59911.18,196147.561,2325.736666666667,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,61800.0,2021-04-10 23:59:59.999000+00:00,1,5,5,0,False,,,,,False,55536.07,2021-04-07 23:59:59.999000+00:00,4,5,5,0,False,,,,,False
2021-04-13 23:59:59.999000+00:00,BTC/USDT,59911.19,63850.0,59873.01,63649.71,279389.492,2490.862,,,neutral,neutral,False,False,False,False,False,False,,,,,False,False,False,False,,,,,,,,,,61800.0,2021-04-10 23:59:59.999000+00:00,2,5,5,0,False,,,,,False,55536.07,2021-04-07 23:59:59.999000+00:00,5,5,5,0,False,,,,,False
