event_type,available_on,swing_date,value,reason,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,confluence_windows
candidate_high_seeded,2021-04-04 23:59:59.999000+00:00,2021-04-04 23:59:59.999000+00:00,58553.0,active_side_seed,False,,0,0,0,
candidate_high_replaced,2021-04-05 23:59:59.999000+00:00,2021-04-05 23:59:59.999000+00:00,59385.0,better_extreme,False,,1,1,0,1
candidate_high_replaced,2021-04-06 23:59:59.999000+00:00,2021-04-06 23:59:59.999000+00:00,59626.18,better_extreme,False,,1,1,0,1
candidate_high_replaced,2021-04-10 23:59:59.999000+00:00,2021-04-10 23:59:59.999000+00:00,61800.0,better_extreme,False,,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-04-13 23:59:59.999000+00:00,2021-04-13 23:59:59.999000+00:00,63850.0,better_extreme,False,,5,5,0,"1,3,7,10,30"
candidate_high_replaced,2021-04-14 23:59:59.999000+00:00,2021-04-14 23:59:59.999000+00:00,64986.11,better_extreme,False,,5,5,0,"1,3,7,10,30"
candidate_high_seeded,2021-04-14 23:59:59.999000+00:00,2021-04-14 23:59:59.999000+00:00,64986.11,post_confirmation_seed,False,,5,5,0,"1,3,7,10,30"
candidate_high_seeded,2021-04-28 23:59:59.999000+00:00,2021-04-28 23:59:59.999000+00:00,56574.13,post_confirmation_seed,False,64986.11,3,3,0,"1,3,7"
candidate_high_replaced,2021-04-30 23:59:59.999000+00:00,2021-04-30 23:59:59.999000+00:00,57935.0,better_extreme,False,64986.11,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-05-01 23:59:59.999000+00:00,2021-05-01 23:59:59.999000+00:00,58488.17,better_extreme,False,64986.11,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-05-03 23:59:59.999000+00:00,2021-05-03 23:59:59.999000+00:00,59056.59,better_extreme,False,64986.11,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-05-08 23:59:59.999000+00:00,2021-05-08 23:59:59.999000+00:00,59590.96,better_extreme,False,64986.11,4,4,0,"1,3,7,10"
candidate_high_seeded,2021-05-22 23:59:59.999000+00:00,2021-05-22 23:59:59.999000+00:00,38851.34,post_confirmation_seed,False,59590.96,0,0,0,
candidate_high_replaced,2021-05-24 23:59:59.999000+00:00,2021-05-24 23:59:59.999000+00:00,39917.09,better_extreme,False,59590.96,2,2,0,"1,3"
candidate_high_replaced,2021-05-26 23:59:59.999000+00:00,2021-05-26 23:59:59.999000+00:00,40900.0,better_extreme,False,59590.96,3,3,0,"1,3,7"
candidate_high_seeded,2021-06-15 23:59:59.999000+00:00,2021-06-15 23:59:59.999000+00:00,41413.0,post_confirmation_seed,True,40900.0,4,4,0,"1,3,7,10"
candidate_high_seeded,2021-06-27 23:59:59.999000+00:00,2021-06-27 23:59:59.999000+00:00,34762.0,post_confirmation_seed,False,41413.0,3,3,0,"1,3,7"
candidate_high_replaced,2021-06-28 23:59:59.999000+00:00,2021-06-28 23:59:59.999000+00:00,35279.38,better_extreme,False,41413.0,3,3,0,"1,3,7"
candidate_high_replaced,2021-06-29 23:59:59.999000+00:00,2021-06-29 23:59:59.999000+00:00,36623.0,better_extreme,False,41413.0,4,4,0,"1,3,7,10"
candidate_high_seeded,2021-07-23 23:59:59.999000+00:00,2021-07-23 23:59:59.999000+00:00,33650.0,post_confirmation_seed,False,36623.0,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-07-24 23:59:59.999000+00:00,2021-07-24 23:59:59.999000+00:00,34471.0,better_extreme,False,36623.0,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-07-25 23:59:59.999000+00:00,2021-07-25 23:59:59.999000+00:00,35400.0,better_extreme,False,36623.0,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-07-26 23:59:59.999000+00:00,2021-07-26 23:59:59.999000+00:00,48168.6,better_extreme,True,36623.0,5,5,0,"1,3,7,10,30"
candidate_high_seeded,2021-08-10 23:59:59.999000+00:00,2021-08-10 23:59:59.999000+00:00,46800.0,post_confirmation_seed,False,48168.6,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-08-13 23:59:59.999000+00:00,2021-08-13 23:59:59.999000+00:00,47980.69,better_extreme,False,48168.6,5,5,0,"1,3,7,10,30"
candidate_high_replaced,2021-08-14 23:59:59.999000+00:00,2021-08-14 23:59:59.999000+00:00,48300.0,better_extreme,True,48168.6,5,5,0,"1,3,7,10,30"
candidate_high_seeded,2021-08-26 23:59:59.999000+00:00,2021-08-26 23:59:59.999000+00:00,49380.0,post_confirmation_seed,True,48300.0,1,1,0,1
candidate_high_replaced,2021-08-29 23:59:59.999000+00:00,2021-08-29 23:59:59.999000+00:00,49769.2,better_extreme,True,48300.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-09-02 23:59:59.999000+00:00,2021-09-02 23:59:59.999000+00:00,50420.0,better_extreme,True,48300.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-09-03 23:59:59.999000+00:00,2021-09-03 23:59:59.999000+00:00,51111.0,better_extreme,True,48300.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-09-05 23:59:59.999000+00:00,2021-09-05 23:59:59.999000+00:00,51950.0,better_extreme,True,48300.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-09-06 23:59:59.999000+00:00,2021-09-06 23:59:59.999000+00:00,52830.0,better_extreme,True,48300.0,6,5,1,"1,3,7,10,30,90"
candidate_high_seeded,2021-09-16 23:59:59.999000+00:00,2021-09-16 23:59:59.999000+00:00,48488.0,post_confirmation_seed,False,52830.0,3,3,0,"1,3,7"
candidate_high_replaced,2021-09-18 23:59:59.999000+00:00,2021-09-18 23:59:59.999000+00:00,48850.0,better_extreme,False,52830.0,4,4,0,"1,3,7,10"
candidate_high_seeded,2021-10-01 23:59:59.999000+00:00,2021-10-01 23:59:59.999000+00:00,48450.0,post_confirmation_seed,False,48850.0,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-10-03 23:59:59.999000+00:00,2021-10-03 23:59:59.999000+00:00,49304.12,better_extreme,True,48850.0,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-10-05 23:59:59.999000+00:00,2021-10-05 23:59:59.999000+00:00,51888.0,better_extreme,True,48850.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-10-06 23:59:59.999000+00:00,2021-10-06 23:59:59.999000+00:00,56416.02,better_extreme,True,48850.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-10-10 23:59:59.999000+00:00,2021-10-10 23:59:59.999000+00:00,56789.0,better_extreme,True,48850.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-10-11 23:59:59.999000+00:00,2021-10-11 23:59:59.999000+00:00,57880.0,better_extreme,True,48850.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-10-14 23:59:59.999000+00:00,2021-10-14 23:59:59.999000+00:00,58586.67,better_extreme,True,48850.0,6,5,1,"1,3,7,10,30,90"
candidate_high_replaced,2021-10-15 23:59:59.999000+00:00,2021-10-15 23:59:59.999000+00:00,63997.61,better_extreme,True,48850.0,9,5,4,"1,3,7,10,30,90,180,300,365"
candidate_high_replaced,2021-10-19 23:59:59.999000+00:00,2021-10-19 23:59:59.999000+00:00,64500.0,better_extreme,True,48850.0,9,5,4,"1,3,7,10,30,90,180,300,365"
candidate_high_replaced,2021-10-20 23:59:59.999000+00:00,2021-10-20 23:59:59.999000+00:00,67150.0,better_extreme,True,48850.0,9,5,4,"1,3,7,10,30,90,180,300,365"
candidate_high_seeded,2021-11-03 23:59:59.999000+00:00,2021-11-03 23:59:59.999000+00:00,63613.0,post_confirmation_seed,False,67150.0,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-11-08 23:59:59.999000+00:00,2021-11-08 23:59:59.999000+00:00,67932.89,better_extreme,True,67150.0,9,5,4,"1,3,7,10,30,90,180,300,365"
candidate_high_replaced,2021-11-09 23:59:59.999000+00:00,2021-11-09 23:59:59.999000+00:00,68675.16,better_extreme,True,67150.0,9,5,4,"1,3,7,10,30,90,180,300,365"
candidate_high_replaced,2021-11-10 23:59:59.999000+00:00,2021-11-10 23:59:59.999000+00:00,69198.7,better_extreme,True,67150.0,9,5,4,"1,3,7,10,30,90,180,300,365"
candidate_high_seeded,2021-11-29 23:59:59.999000+00:00,2021-11-29 23:59:59.999000+00:00,58924.21,post_confirmation_seed,False,69198.7,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-11-30 23:59:59.999000+00:00,2021-11-30 23:59:59.999000+00:00,59224.99,better_extreme,False,69198.7,4,4,0,"1,3,7,10"
candidate_high_seeded,2021-12-22 23:59:59.999000+00:00,2021-12-22 23:59:59.999000+00:00,49599.0,post_confirmation_seed,False,59224.99,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-12-23 23:59:59.999000+00:00,2021-12-23 23:59:59.999000+00:00,51377.74,better_extreme,False,59224.99,4,4,0,"1,3,7,10"
candidate_high_replaced,2021-12-24 23:59:59.999000+00:00,2021-12-24 23:59:59.999000+00:00,51805.0,better_extreme,False,59224.99,4,4,0,"1,3,7,10"
