event_type,available_on,swing_date,value,reason,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,confluence_windows
candidate_low_seeded,2021-04-04 23:59:59.999000+00:00,2021-04-04 23:59:59.999000+00:00,56517.23,active_side_seed,False,,0,0,0,
candidate_low_replaced,2021-04-07 23:59:59.999000+00:00,2021-04-07 23:59:59.999000+00:00,55536.07,better_extreme,False,,2,2,0,"1,3"
candidate_low_seeded,2021-04-21 23:59:59.999000+00:00,2021-04-21 23:59:59.999000+00:00,53610.0,post_confirmation_seed,True,55536.07,1,1,0,1
candidate_low_replaced,2021-04-22 23:59:59.999000+00:00,2021-04-22 23:59:59.999000+00:00,50534.34,better_extreme,True,55536.07,5,5,0,"1,3,7,10,30"
candidate_low_replaced,2021-04-23 23:59:59.999000+00:00,2021-04-23 23:59:59.999000+00:00,47546.16,better_extreme,True,55536.07,5,5,0,"1,3,7,10,30"
candidate_low_replaced,2021-04-25 23:59:59.999000+00:00,2021-04-25 23:59:59.999000+00:00,46930.43,better_extreme,True,55536.07,5,5,0,"1,3,7,10,30"
candidate_low_seeded,2021-05-15 23:59:59.999000+00:00,2021-05-15 23:59:59.999000+00:00,46584.32,post_confirmation_seed,True,46930.43,6,5,1,"1,3,7,10,30,90"
candidate_low_replaced,2021-05-16 23:59:59.999000+00:00,2021-05-16 23:59:59.999000+00:00,43866.0,better_extreme,True,46930.43,6,5,1,"1,3,7,10,30,90"
candidate_low_replaced,2021-05-17 23:59:59.999000+00:00,2021-05-17 23:59:59.999000+00:00,42151.0,better_extreme,True,46930.43,6,5,1,"1,3,7,10,30,90"
candidate_low_replaced,2021-05-19 23:59:59.999000+00:00,2021-05-19 23:59:59.999000+00:00,28688.0,better_extreme,True,46930.43,7,5,2,"1,3,7,10,30,90,180"
candidate_low_seeded,2021-06-04 23:59:59.999000+00:00,2021-06-04 23:59:59.999000+00:00,35552.51,post_confirmation_seed,False,28688.0,2,2,0,"1,3"
candidate_low_replaced,2021-06-05 23:59:59.999000+00:00,2021-06-05 23:59:59.999000+00:00,34800.0,better_extreme,False,28688.0,4,4,0,"1,3,7,10"
candidate_low_replaced,2021-06-07 23:59:59.999000+00:00,2021-06-07 23:59:59.999000+00:00,33200.0,better_extreme,False,28688.0,4,4,0,"1,3,7,10"
candidate_low_replaced,2021-06-08 23:59:59.999000+00:00,2021-06-08 23:59:59.999000+00:00,30969.0,better_extreme,False,28688.0,4,4,0,"1,3,7,10"
candidate_low_seeded,2021-06-18 23:59:59.999000+00:00,2021-06-18 23:59:59.999000+00:00,35100.0,post_confirmation_seed,False,30969.0,3,3,0,"1,3,7"
candidate_low_replaced,2021-06-19 23:59:59.999000+00:00,2021-06-19 23:59:59.999000+00:00,34704.08,better_extreme,False,30969.0,3,3,0,"1,3,7"
candidate_low_replaced,2021-06-20 23:59:59.999000+00:00,2021-06-20 23:59:59.999000+00:00,33312.0,better_extreme,False,30969.0,4,4,0,"1,3,7,10"
candidate_low_replaced,2021-06-21 23:59:59.999000+00:00,2021-06-21 23:59:59.999000+00:00,31250.51,better_extreme,False,30969.0,5,5,0,"1,3,7,10,30"
candidate_low_replaced,2021-06-22 23:59:59.999000+00:00,2021-06-22 23:59:59.999000+00:00,28780.01,better_extreme,True,30969.0,8,5,3,"1,3,7,10,30,90,180,300"
candidate_low_seeded,2021-07-07 23:59:59.999000+00:00,2021-07-07 23:59:59.999000+00:00,33756.48,post_confirmation_seed,False,28780.01,3,3,0,"1,3,7"
candidate_low_replaced,2021-07-08 23:59:59.999000+00:00,2021-07-08 23:59:59.999000+00:00,32066.0,better_extreme,False,28780.01,4,4,0,"1,3,7,10"
candidate_low_replaced,2021-07-14 23:59:59.999000+00:00,2021-07-14 23:59:59.999000+00:00,31556.02,better_extreme,False,28780.01,4,4,0,"1,3,7,10"
candidate_low_replaced,2021-07-15 23:59:59.999000+00:00,2021-07-15 23:59:59.999000+00:00,31140.0,better_extreme,False,28780.01,4,4,0,"1,3,7,10"
candidate_low_replaced,2021-07-19 23:59:59.999000+00:00,2021-07-19 23:59:59.999000+00:00,30358.77,better_extreme,False,28780.01,4,4,0,"1,3,7,10"
candidate_low_replaced,2021-07-20 23:59:59.999000+00:00,2021-07-20 23:59:59.999000+00:00,29242.24,better_extreme,False,28780.01,9,5,4,"1,3,7,10,30,90,180,300,365"
candidate_low_seeded,2021-07-29 23:59:59.999000+00:00,2021-07-29 23:59:59.999000+00:00,39203.83,post_confirmation_seed,False,29242.24,1,1,0,1
candidate_low_replaced,2021-07-30 23:59:59.999000+00:00,2021-07-30 23:59:59.999000+00:00,38320.0,better_extreme,False,29242.24,1,1,0,1
candidate_low_replaced,2021-08-03 23:59:59.999000+00:00,2021-08-03 23:59:59.999000+00:00,37600.0,better_extreme,False,29242.24,3,3,0,"1,3,7"
candidate_low_seeded,2021-08-17 23:59:59.999000+00:00,2021-08-17 23:59:59.999000+00:00,44412.01,post_confirmation_seed,False,37600.0,3,3,0,"1,3,7"
candidate_low_replaced,2021-08-19 23:59:59.999000+00:00,2021-08-19 23:59:59.999000+00:00,43938.38,better_extreme,False,37600.0,4,4,0,"1,3,7,10"
candidate_low_seeded,2021-09-09 23:59:59.999000+00:00,2021-09-09 23:59:59.999000+00:00,45500.0,post_confirmation_seed,False,43938.38,1,1,0,1
candidate_low_replaced,2021-09-10 23:59:59.999000+00:00,2021-09-10 23:59:59.999000+00:00,44120.0,better_extreme,False,43938.38,1,1,0,1
candidate_low_replaced,2021-09-13 23:59:59.999000+00:00,2021-09-13 23:59:59.999000+00:00,43323.93,better_extreme,True,43938.38,5,5,0,"1,3,7,10,30"
candidate_low_seeded,2021-09-25 23:59:59.999000+00:00,2021-09-25 23:59:59.999000+00:00,41630.26,post_confirmation_seed,True,43323.93,2,2,0,"1,3"
candidate_low_replaced,2021-09-26 23:59:59.999000+00:00,2021-09-26 23:59:59.999000+00:00,40725.01,better_extreme,True,43323.93,5,5,0,"1,3,7,10,30"
candidate_low_seeded,2021-10-23 23:59:59.999000+00:00,2021-10-23 23:59:59.999000+00:00,59622.0,post_confirmation_seed,False,40725.01,3,3,0,"1,3,7"
candidate_low_replaced,2021-10-27 23:59:59.999000+00:00,2021-10-27 23:59:59.999000+00:00,57865.0,better_extreme,False,40725.01,4,4,0,"1,3,7,10"
candidate_low_seeded,2021-11-13 23:59:59.999000+00:00,2021-11-13 23:59:59.999000+00:00,63430.01,post_confirmation_seed,False,57865.0,2,2,0,"1,3"
candidate_low_replaced,2021-11-16 23:59:59.999000+00:00,2021-11-16 23:59:59.999000+00:00,58397.14,better_extreme,False,57865.0,5,5,0,"1,3,7,10,30"
candidate_low_replaced,2021-11-18 23:59:59.999000+00:00,2021-11-18 23:59:59.999000+00:00,56505.48,better_extreme,True,57865.0,5,5,0,"1,3,7,10,30"
candidate_low_replaced,2021-11-19 23:59:59.999000+00:00,2021-11-19 23:59:59.999000+00:00,55604.0,better_extreme,True,57865.0,5,5,0,"1,3,7,10,30"
candidate_low_replaced,2021-11-23 23:59:59.999000+00:00,2021-11-23 23:59:59.999000+00:00,55250.0,better_extreme,True,57865.0,5,5,0,"1,3,7,10,30"
