kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
high,2021-04-21 23:59:59.999000+00:00,2021-04-14 23:59:59.999000+00:00,64986.11,10,7,4233.5169642857145,11376.11,11186.11,close,forced_maturity,INITIAL_HIGH,False,,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,0.0,7,medium,False,True
high,2021-05-15 23:59:59.999000+00:00,2021-05-08 23:59:59.999000+00:00,59590.96,34,7,5071.665178571428,13006.64,12797.549999999996,close,forced_maturity,LH,False,64986.11,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2021-06-04 23:59:59.999000+00:00,2021-05-26 23:59:59.999000+00:00,40900.0,52,9,4582.421428571427,5347.489999999998,4071.970000000001,wick_override,forced_maturity,LH,False,59590.96,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2021-06-18 23:59:59.999000+00:00,2021-06-15 23:59:59.999000+00:00,41413.0,72,3,3586.216071428571,6313.0,5601.5899999999965,close,confluence,HH,True,40900.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,2,2.0,9,high,False,False
high,2021-07-07 23:59:59.999000+00:00,2021-06-29 23:59:59.999000+00:00,36623.0,86,8,2746.911607142857,2866.519999999997,2777.3600000000006,close,forced_maturity,LH,False,41413.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2021-07-29 23:59:59.999000+00:00,2021-07-26 23:59:59.999000+00:00,48168.6,113,3,3135.880357142857,8964.769999999997,8155.699999999997,close,confluence,HH,True,36623.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2021-08-17 23:59:59.999000+00:00,2021-08-14 23:59:59.999000+00:00,48300.0,132,3,3333.6562499999995,3887.989999999998,3595.1600000000035,close,confluence,EQH,True,48168.6,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,1.0,12,critical,True,True
high,2021-09-09 23:59:59.999000+00:00,2021-09-06 23:59:59.999000+00:00,52830.0,155,3,3373.7580357142865,7330.0,6416.120000000003,close,confluence,HH,True,48300.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
high,2021-09-25 23:59:59.999000+00:00,2021-09-18 23:59:59.999000+00:00,48850.0,167,7,3220.3544642857146,7219.739999999998,6198.419999999998,close,forced_maturity,LH,False,52830.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2021-10-23 23:59:59.999000+00:00,2021-10-20 23:59:59.999000+00:00,67150.0,199,3,4298.974999999999,7528.0,5824.889999999999,close,confluence,HH,True,48850.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2021-11-13 23:59:59.999000+00:00,2021-11-10 23:59:59.999000+00:00,69198.7,220,3,3628.546428571428,5768.689999999995,4771.699999999997,close,confluence,HH,True,67150.0,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,2,2.0,18,critical,True,True
high,2021-12-07 23:59:59.999000+00:00,2021-11-30 23:59:59.999000+00:00,59224.99,240,7,4772.352678571428,9212.989999999998,8647.79,close,forced_maturity,LH,False,69198.7,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2022-01-03 23:59:59.999000+00:00,2021-12-27 23:59:59.999000+00:00,52134.0,267,7,2578.0196428571426,6468.5999999999985,5688.190000000002,close,forced_maturity,LH,False,59224.99,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2022-01-20 23:59:59.999000+00:00,2022-01-13 23:59:59.999000+00:00,44396.68,284,7,2320.270535714285,3846.6800000000003,3734.989999999998,close,forced_maturity,LH,False,52134.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2022-02-13 23:59:59.999000+00:00,2022-02-10 23:59:59.999000+00:00,45847.5,312,3,2577.4303571428577,3997.5,3806.3700000000026,close,confluence,HH,True,44396.68,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
high,2022-03-10 23:59:59.999000+00:00,2022-03-03 23:59:59.999000+00:00,44080.0,333,7,3396.75892857143,5568.0,4672.800000000003,close,forced_maturity,LH,False,45847.5,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
high,2022-03-31 23:59:59.999000+00:00,2022-03-28 23:59:59.999000+00:00,48200.0,358,3,2017.5892857142865,3015.0,2694.0,close,confluence,HH,True,44080.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
high,2022-05-11 23:59:59.999000+00:00,2022-05-04 23:59:59.999000+00:00,40071.7,395,7,2818.919642857143,12420.699999999997,10996.999999999996,close,forced_maturity,LH,False,48200.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
