kind,available_on,swing_date,value,candidate_index,bars_to_confirmation,threshold,wick_excursion,close_excursion,confirmation_price_mode_used,confirmation_path,structure_label,breaks_structure,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,multi_horizon_ok,confluence_windows,confluence_window_list,max_window,mean_window,level_scope,window_score,structure_bonus,label_bonus,level_score,level_priority,is_major_level,is_strategy_level
low,2021-04-14 23:59:59.999000+00:00,2021-04-07 23:59:59.999000+00:00,55536.07,3,7,3237.582954545455,9450.04,7483.029999999999,close,forced_maturity,INITIAL_LOW,False,,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,0.0,7,medium,False,True
low,2021-04-28 23:59:59.999000+00:00,2021-04-25 23:59:59.999000+00:00,46930.43,21,3,4922.184821428572,9643.699999999997,7931.3399999999965,close,confluence,LL,True,55536.07,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2021-05-22 23:59:59.999000+00:00,2021-05-19 23:59:59.999000+00:00,28688.0,45,3,7407.029464285715,10163.339999999997,8744.580000000002,close,confluence,LL,True,46930.43,7,5,2,True,"1,3,7,10,30,90,180","[1, 3, 7, 10, 30, 90, 180]",180,45.857142857142854,global,4,2,2.0,15,critical,True,True
low,2021-06-15 23:59:59.999000+00:00,2021-06-08 23:59:59.999000+00:00,30969.0,65,7,3646.433928571428,10444.0,9163.86,close,forced_maturity,HL,False,28688.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2021-06-27 23:59:59.999000+00:00,2021-06-22 23:59:59.999000+00:00,28780.01,79,5,3698.8616071428573,5981.990000000002,5907.700000000001,close,confluence,LL,True,30969.0,8,5,3,True,"1,3,7,10,30,90,180,300","[1, 3, 7, 10, 30, 90, 180, 300]",300,77.625,global,4,2,2.0,16,critical,True,True
low,2021-07-23 23:59:59.999000+00:00,2021-07-20 23:59:59.999000+00:00,29242.24,107,3,1970.510714285715,4407.759999999998,4392.2199999999975,close,confluence,HL,False,28780.01,9,5,4,True,"1,3,7,10,30,90,180,300,365","[1, 3, 7, 10, 30, 90, 180, 300, 365]",365,109.55555555555556,global,5,0,1.0,15,critical,True,True
low,2021-08-10 23:59:59.999000+00:00,2021-08-03 23:59:59.999000+00:00,37600.0,121,7,3272.263392857142,9200.0,7989.989999999998,close,forced_maturity,HL,False,29242.24,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2021-08-26 23:59:59.999000+00:00,2021-08-19 23:59:59.999000+00:00,43938.38,137,7,2958.351785714286,5441.620000000003,2914.6800000000003,wick_override,forced_maturity,HL,False,37600.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2021-09-16 23:59:59.999000+00:00,2021-09-13 23:59:59.999000+00:00,43323.93,162,3,3509.4678571428576,5164.07,4421.620000000003,close,confluence,LL,True,43938.38,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2021-10-01 23:59:59.999000+00:00,2021-09-26 23:59:59.999000+00:00,40725.01,175,5,3631.0410714285717,7724.989999999998,7398.93,close,confluence,LL,True,43323.93,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2021-11-03 23:59:59.999000+00:00,2021-10-27 23:59:59.999000+00:00,57865.0,206,7,4050.6214285714277,5748.0,5081.449999999997,close,forced_maturity,HL,False,40725.01,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,0,1.0,6,medium,False,False
low,2021-11-29 23:59:59.999000+00:00,2021-11-26 23:59:59.999000+00:00,53500.0,236,3,3908.2357142857136,5424.209999999999,4327.980000000003,close,confluence,LL,True,57865.0,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,2,2.0,11,high,False,True
low,2021-12-22 23:59:59.999000+00:00,2021-12-13 23:59:59.999000+00:00,45600.0,253,9,3217.502678571427,3999.0,2969.6900000000023,wick_override,confluence,LL,True,53500.0,4,4,0,False,"1,3,7,10","[1, 3, 7, 10]",10,5.25,local,1,2,2.0,9,high,False,False
low,2022-01-13 23:59:59.999000+00:00,2022-01-10 23:59:59.999000+00:00,39610.0,281,3,2749.755357142856,4786.68,2924.3199999999997,close,confluence,LL,True,45600.0,6,5,1,True,"1,3,7,10,30,90","[1, 3, 7, 10, 30, 90]",90,23.5,major,3,2,2.0,13,critical,True,True
low,2022-01-27 23:59:59.999000+00:00,2022-01-24 23:59:59.999000+00:00,32853.83,295,3,2931.4205357142855,4346.169999999998,4277.169999999998,close,confluence,LL,True,39610.0,7,5,2,True,"1,3,7,10,30,90,180","[1, 3, 7, 10, 30, 90, 180]",180,45.857142857142854,global,4,2,2.0,15,critical,True,True
low,2022-03-03 23:59:59.999000+00:00,2022-02-24 23:59:59.999000+00:00,34303.7,326,7,3368.8482142857138,9776.300000000003,8145.800000000003,close,forced_maturity,HL,False,32853.83,5,5,0,False,"1,3,7,10,30","[1, 3, 7, 10, 30]",30,10.2,structural,2,0,1.0,8,medium,False,True
