available_on,event,level_kind,level_value,threshold,market_bias_asof,market_bias_after_close,close
2021-04-21 23:59:59.999000+00:00,bos_down,low,55536.07,1185.38475,neutral,bearish,53800.0
2021-04-22 23:59:59.999000+00:00,bos_down,low,55536.07,1247.76725,bearish,bearish,51714.61
2021-04-23 23:59:59.999000+00:00,bos_down,low,55536.07,1331.66325,bearish,bearish,51122.62
2021-04-24 23:59:59.999000+00:00,bos_down,low,55536.07,1297.59975,bearish,bearish,50092.4
2021-04-25 23:59:59.999000+00:00,bos_down,low,55536.07,1350.9650000000001,bearish,bearish,49063.94
2021-04-26 23:59:59.999000+00:00,bos_down,low,55536.07,1442.2644999999998,bearish,bearish,53984.33
2021-05-17 23:59:59.999000+00:00,bos_down,low,46930.43,1571.3532500000001,bearish,bearish,43566.18
2021-05-18 23:59:59.999000+00:00,bos_down,low,46930.43,1556.83925,bearish,bearish,42882.53
2021-05-19 23:59:59.999000+00:00,bos_down,low,46930.43,1803.5469999999998,bearish,bearish,36689.14
2021-05-20 23:59:59.999000+00:00,bos_down,low,46930.43,1914.1947499999999,bearish,bearish,40500.3
2021-05-21 23:59:59.999000+00:00,bos_down,low,46930.43,2048.4552499999995,bearish,bearish,37211.02
2021-05-22 23:59:59.999000+00:00,bos_down,low,46930.43,2073.9682500000004,bearish,bearish,37432.58
2021-07-27 23:59:59.999000+00:00,choch_up,high,36623.0,879.2534999999999,bearish,bullish,39442.33
2021-07-28 23:59:59.999000+00:00,bos_up,high,36623.0,892.26725,bullish,bullish,40003.08
2021-07-29 23:59:59.999000+00:00,bos_up,high,36623.0,878.0464999999999,bullish,bullish,40012.9
2021-08-20 23:59:59.999000+00:00,bos_up,high,48300.0,877.16875,bullish,bullish,49332.74
2021-08-22 23:59:59.999000+00:00,bos_up,high,48300.0,842.68325,bullish,bullish,49273.28
2021-08-23 23:59:59.999000+00:00,bos_up,high,48300.0,788.358,bullish,bullish,49523.91
2021-09-02 23:59:59.999000+00:00,bos_up,high,48300.0,720.6272500000001,bullish,bullish,49299.14
2021-09-03 23:59:59.999000+00:00,bos_up,high,48300.0,718.82725,bullish,bullish,50027.08
2021-09-04 23:59:59.999000+00:00,bos_up,high,48300.0,709.8042500000001,bullish,bullish,49940.74
2021-09-05 23:59:59.999000+00:00,bos_up,high,48300.0,734.9797500000002,bullish,bullish,51799.57
2021-09-06 23:59:59.999000+00:00,bos_up,high,48300.0,741.6050000000002,bullish,bullish,52683.97
2021-09-21 23:59:59.999000+00:00,choch_down,low,43323.93,847.5007499999998,bullish,bearish,40726.1
2021-09-27 23:59:59.999000+00:00,bos_down,low,43323.93,904.9545,bearish,bearish,42122.69
2021-09-28 23:59:59.999000+00:00,bos_down,low,43323.93,887.8275000000001,bearish,bearish,41006.32
2021-09-29 23:59:59.999000+00:00,bos_down,low,43323.93,890.3810000000001,bearish,bearish,41499.71
2021-10-05 23:59:59.999000+00:00,choch_up,high,48850.0,925.8425000000002,bearish,bullish,51455.12
2021-10-06 23:59:59.999000+00:00,bos_up,high,48850.0,990.03075,bullish,bullish,55321.6
2021-10-07 23:59:59.999000+00:00,bos_up,high,48850.0,991.1052500000001,bullish,bullish,53814.99
2021-10-08 23:59:59.999000+00:00,bos_up,high,48850.0,943.0327500000001,bullish,bullish,53975.0
2021-10-09 23:59:59.999000+00:00,bos_up,high,48850.0,958.34775,bullish,bullish,54960.77
2021-10-10 23:59:59.999000+00:00,bos_up,high,48850.0,945.173,bullish,bullish,54700.0
2021-10-11 23:59:59.999000+00:00,bos_up,high,48850.0,973.4512500000001,bullish,bullish,57500.01
2021-10-12 23:59:59.999000+00:00,bos_up,high,48850.0,1026.2392499999999,bullish,bullish,56011.84
2021-10-13 23:59:59.999000+00:00,bos_up,high,48850.0,1068.316,bullish,bullish,57393.65
2021-10-14 23:59:59.999000+00:00,bos_up,high,48850.0,1045.17725,bullish,bullish,57378.19
2021-10-15 23:59:59.999000+00:00,bos_up,high,48850.0,1092.86775,bullish,bullish,61702.33
2021-10-16 23:59:59.999000+00:00,bos_up,high,48850.0,1125.2565,bullish,bullish,60925.56
2021-10-17 23:59:59.999000+00:00,bos_up,high,48850.0,1143.09675,bullish,bullish,61571.45
2021-10-18 23:59:59.999000+00:00,bos_up,high,48850.0,1149.1767499999999,bullish,bullish,62037.92
2021-10-19 23:59:59.999000+00:00,bos_up,high,48850.0,1157.2069999999999,bullish,bullish,64316.7
2021-10-20 23:59:59.999000+00:00,bos_up,high,48850.0,1097.83625,bullish,bullish,66064.24
2021-10-21 23:59:59.999000+00:00,bos_up,high,48850.0,1167.49975,bullish,bullish,62260.33
2021-10-22 23:59:59.999000+00:00,bos_up,high,48850.0,1198.0714999999998,bullish,bullish,60734.27
2021-10-23 23:59:59.999000+00:00,bos_up,high,48850.0,1203.713,bullish,bullish,61325.11
2021-11-22 23:59:59.999000+00:00,choch_down,low,57865.0,1088.2639999999997,bullish,bearish,56268.31
2021-11-26 23:59:59.999000+00:00,bos_down,low,57865.0,1057.2662499999997,bearish,bearish,53755.65
2021-11-27 23:59:59.999000+00:00,bos_down,low,57865.0,1057.66825,bearish,bearish,54738.77
2021-12-04 23:59:59.999000+00:00,bos_down,low,53500.0,1347.434,bearish,bearish,49135.66
2021-12-05 23:59:59.999000+00:00,bos_down,low,53500.0,1357.6977499999998,bearish,bearish,49376.6
2021-12-06 23:59:59.999000+00:00,bos_down,low,53500.0,1354.2837499999998,bearish,bearish,50424.72
2021-12-07 23:59:59.999000+00:00,bos_down,low,53500.0,1336.25875,bearish,bearish,50577.2
2021-12-08 23:59:59.999000+00:00,bos_down,low,53500.0,1356.30875,bearish,bearish,50455.61
2021-12-09 23:59:59.999000+00:00,bos_down,low,53500.0,1382.2967499999997,bearish,bearish,47539.76
2021-12-10 23:59:59.999000+00:00,bos_down,low,53500.0,1324.1412499999994,bearish,bearish,47136.35
2021-12-11 23:59:59.999000+00:00,bos_down,low,53500.0,1352.0259999999998,bearish,bearish,49381.15
2021-12-12 23:59:59.999000+00:00,bos_down,low,53500.0,1300.0779999999995,bearish,bearish,50057.01
2021-12-13 23:59:59.999000+00:00,bos_down,low,53500.0,1359.3477499999997,bearish,bearish,46679.93
2021-12-14 23:59:59.999000+00:00,bos_down,low,53500.0,1336.2809999999997,bearish,bearish,48324.04
