available_on,swing_date,value,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,confluence_windows,seed_reason
2025-04-22 03:59:59.999000+00:00,2025-04-22 03:59:59.999000+00:00,88850.0,88500.0,5,5,0,"6,18,42,60,180",better_extreme
2025-04-22 15:59:59.999000+00:00,2025-04-22 15:59:59.999000+00:00,91373.0,88500.0,5,5,0,"6,18,42,60,180",better_extreme
2025-04-22 19:59:59.999000+00:00,2025-04-22 19:59:59.999000+00:00,91686.6,88500.0,5,5,0,"6,18,42,60,180",better_extreme
2025-04-22 23:59:59.999000+00:00,2025-04-22 23:59:59.999000+00:00,94142.5,88500.0,5,5,0,"6,18,42,60,180",better_extreme
2025-04-23 11:59:59.999000+00:00,2025-04-23 11:59:59.999000+00:00,94453.0,88500.0,5,5,0,"6,18,42,60,180",better_extreme
2025-04-23 15:59:59.999000+00:00,2025-04-23 15:59:59.999000+00:00,94904.3,88500.0,5,5,0,"6,18,42,60,180",better_extreme
2025-04-25 15:59:59.999000+00:00,2025-04-25 15:59:59.999000+00:00,95769.6,88500.0,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-07 15:59:59.999000+00:00,2025-05-07 15:59:59.999000+00:00,97446.8,95769.6,6,5,1,"6,18,42,60,180,540",post_confirmation_seed
2025-05-08 03:59:59.999000+00:00,2025-05-08 03:59:59.999000+00:00,99199.9,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-08 07:59:59.999000+00:00,2025-05-08 07:59:59.999000+00:00,99374.3,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-08 11:59:59.999000+00:00,2025-05-08 11:59:59.999000+00:00,99863.3,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-08 15:59:59.999000+00:00,2025-05-08 15:59:59.999000+00:00,101493.2,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-08 19:59:59.999000+00:00,2025-05-08 19:59:59.999000+00:00,101686.7,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-08 23:59:59.999000+00:00,2025-05-08 23:59:59.999000+00:00,104305.3,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-10 23:59:59.999000+00:00,2025-05-10 23:59:59.999000+00:00,105000.1,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-12 03:59:59.999000+00:00,2025-05-12 03:59:59.999000+00:00,105190.4,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-12 07:59:59.999000+00:00,2025-05-12 07:59:59.999000+00:00,105863.1,95769.6,6,5,1,"6,18,42,60,180,540",better_extreme
2025-05-22 15:59:59.999000+00:00,2025-05-22 15:59:59.999000+00:00,111582.5,105863.1,7,5,2,"6,18,42,60,180,540,1080",post_confirmation_seed
2025-05-22 19:59:59.999000+00:00,2025-05-22 19:59:59.999000+00:00,111959.5,105863.1,7,5,2,"6,18,42,60,180,540,1080",better_extreme
2025-07-09 19:59:59.999000+00:00,2025-07-09 19:59:59.999000+00:00,112036.8,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-07-10 19:59:59.999000+00:00,2025-07-10 19:59:59.999000+00:00,113760.0,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-07-10 23:59:59.999000+00:00,2025-07-10 23:59:59.999000+00:00,117500.0,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-07-11 07:59:59.999000+00:00,2025-07-11 07:59:59.999000+00:00,118395.9,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-07-11 11:59:59.999000+00:00,2025-07-11 11:59:59.999000+00:00,118882.8,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-07-13 15:59:59.999000+00:00,2025-07-13 15:59:59.999000+00:00,119655.0,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-07-14 03:59:59.999000+00:00,2025-07-14 03:59:59.999000+00:00,121800.0,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-07-14 07:59:59.999000+00:00,2025-07-14 07:59:59.999000+00:00,123300.0,110653.6,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-08-13 23:59:59.999000+00:00,2025-08-13 23:59:59.999000+00:00,123715.9,123300.0,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-08-14 03:59:59.999000+00:00,2025-08-14 03:59:59.999000+00:00,124545.6,123300.0,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2025-09-13 19:59:59.999000+00:00,2025-09-13 19:59:59.999000+00:00,115780.3,112585.7,0,0,0,,post_confirmation_seed
2025-09-13 23:59:59.999000+00:00,2025-09-13 23:59:59.999000+00:00,115946.4,112585.7,0,0,0,,better_extreme
2025-09-14 03:59:59.999000+00:00,2025-09-14 03:59:59.999000+00:00,116075.8,112585.7,1,1,0,6,better_extreme
2025-09-15 07:59:59.999000+00:00,2025-09-15 07:59:59.999000+00:00,116759.9,112585.7,4,4,0,"6,18,42,60",better_extreme
2025-09-16 23:59:59.999000+00:00,2025-09-16 23:59:59.999000+00:00,116910.8,112585.7,4,4,0,"6,18,42,60",better_extreme
2025-09-17 03:59:59.999000+00:00,2025-09-17 03:59:59.999000+00:00,117081.9,112585.7,5,5,0,"6,18,42,60,180",better_extreme
2025-09-17 07:59:59.999000+00:00,2025-09-17 07:59:59.999000+00:00,117266.4,112585.7,5,5,0,"6,18,42,60,180",better_extreme
2025-09-18 03:59:59.999000+00:00,2025-09-18 03:59:59.999000+00:00,117865.9,112585.7,5,5,0,"6,18,42,60,180",better_extreme
2025-10-01 19:59:59.999000+00:00,2025-10-01 19:59:59.999000+00:00,118190.0,117865.9,5,5,0,"6,18,42,60,180",better_extreme
2025-10-01 23:59:59.999000+00:00,2025-10-01 23:59:59.999000+00:00,118631.8,117865.9,5,5,0,"6,18,42,60,180",better_extreme
2025-10-02 03:59:59.999000+00:00,2025-10-02 03:59:59.999000+00:00,119457.0,117865.9,5,5,0,"6,18,42,60,180",better_extreme
