available_on,swing_date,value,reference_confirmed_value,confluence_count,confluence_short_hits,confluence_long_hits,confluence_windows,seed_reason
2025-06-05 23:59:59.999000+00:00,2025-06-05 23:59:59.999000+00:00,100305.1,101270.8,4,4,0,"6,18,42,60",better_extreme
2025-06-22 15:59:59.999000+00:00,2025-06-22 15:59:59.999000+00:00,98786.9,100305.1,5,5,0,"6,18,42,60,180",better_extreme
2025-06-22 19:59:59.999000+00:00,2025-06-22 19:59:59.999000+00:00,98608.9,100305.1,5,5,0,"6,18,42,60,180",better_extreme
2025-06-22 23:59:59.999000+00:00,2025-06-22 23:59:59.999000+00:00,98115.4,100305.1,5,5,0,"6,18,42,60,180",better_extreme
2025-08-22 15:59:59.999000+00:00,2025-08-22 15:59:59.999000+00:00,111625.9,111910.0,5,5,0,"6,18,42,60,180",better_extreme
2025-08-24 19:59:59.999000+00:00,2025-08-24 19:59:59.999000+00:00,110484.0,111910.0,5,5,0,"6,18,42,60,180",better_extreme
2025-08-25 23:59:59.999000+00:00,2025-08-25 23:59:59.999000+00:00,109219.8,111910.0,5,5,0,"6,18,42,60,180",better_extreme
2025-08-26 03:59:59.999000+00:00,2025-08-26 03:59:59.999000+00:00,108559.7,111910.0,5,5,0,"6,18,42,60,180",better_extreme
2025-09-25 19:59:59.999000+00:00,2025-09-25 19:59:59.999000+00:00,108574.1,109850.0,4,4,0,"6,18,42,60",better_extreme
2025-10-10 23:59:59.999000+00:00,2025-10-10 23:59:59.999000+00:00,101516.5,108574.1,6,5,1,"6,18,42,60,180,540",better_extreme
2025-11-05 11:59:59.999000+00:00,2025-11-05 11:59:59.999000+00:00,101131.0,106360.3,0,0,0,,post_confirmation_seed
2025-11-06 19:59:59.999000+00:00,2025-11-06 19:59:59.999000+00:00,100238.4,106360.3,1,1,0,6,better_extreme
2025-11-07 11:59:59.999000+00:00,2025-11-07 11:59:59.999000+00:00,99750.0,106360.3,1,1,0,6,better_extreme
2025-11-07 15:59:59.999000+00:00,2025-11-07 15:59:59.999000+00:00,99200.0,106360.3,6,5,1,"6,18,42,60,180,540",better_extreme
2025-11-18 03:59:59.999000+00:00,2025-11-18 03:59:59.999000+00:00,89666.1,99200.0,7,5,2,"6,18,42,60,180,540,1080",post_confirmation_seed
2025-11-18 07:59:59.999000+00:00,2025-11-18 07:59:59.999000+00:00,89012.0,99200.0,7,5,2,"6,18,42,60,180,540,1080",better_extreme
2025-11-19 19:59:59.999000+00:00,2025-11-19 19:59:59.999000+00:00,88600.0,99200.0,7,5,2,"6,18,42,60,180,540,1080",better_extreme
2025-11-20 19:59:59.999000+00:00,2025-11-20 19:59:59.999000+00:00,86066.6,99200.0,7,5,2,"6,18,42,60,180,540,1080",better_extreme
2025-11-21 03:59:59.999000+00:00,2025-11-21 03:59:59.999000+00:00,85288.0,99200.0,7,5,2,"6,18,42,60,180,540,1080",better_extreme
2025-11-21 07:59:59.999000+00:00,2025-11-21 07:59:59.999000+00:00,81111.0,99200.0,7,5,2,"6,18,42,60,180,540,1080",better_extreme
2025-11-21 15:59:59.999000+00:00,2025-11-21 15:59:59.999000+00:00,80600.0,99200.0,7,5,2,"6,18,42,60,180,540,1080",better_extreme
2026-01-20 19:59:59.999000+00:00,2026-01-20 19:59:59.999000+00:00,89250.2,89632.8,4,4,0,"6,18,42,60",better_extreme
2026-01-20 23:59:59.999000+00:00,2026-01-20 23:59:59.999000+00:00,87787.2,89632.8,4,4,0,"6,18,42,60",better_extreme
2026-01-21 19:59:59.999000+00:00,2026-01-21 19:59:59.999000+00:00,87205.5,89632.8,4,4,0,"6,18,42,60",better_extreme
2026-02-04 19:59:59.999000+00:00,2026-02-04 19:59:59.999000+00:00,72101.0,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",post_confirmation_seed
2026-02-04 23:59:59.999000+00:00,2026-02-04 23:59:59.999000+00:00,71838.0,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-02-05 03:59:59.999000+00:00,2026-02-05 03:59:59.999000+00:00,71111.0,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-02-05 07:59:59.999000+00:00,2026-02-05 07:59:59.999000+00:00,70085.3,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-02-05 11:59:59.999000+00:00,2026-02-05 11:59:59.999000+00:00,69862.0,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-02-05 15:59:59.999000+00:00,2026-02-05 15:59:59.999000+00:00,66666.0,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-02-05 19:59:59.999000+00:00,2026-02-05 19:59:59.999000+00:00,65160.0,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-02-05 23:59:59.999000+00:00,2026-02-05 23:59:59.999000+00:00,62233.3,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-02-06 03:59:59.999000+00:00,2026-02-06 03:59:59.999000+00:00,59800.0,87205.5,9,5,4,"6,18,42,60,180,540,1080,1800,2190",better_extreme
2026-03-27 19:59:59.999000+00:00,2026-03-27 19:59:59.999000+00:00,65501.0,65569.2,4,4,0,"6,18,42,60",better_extreme
2026-03-29 23:59:59.999000+00:00,2026-03-29 23:59:59.999000+00:00,64918.2,65569.2,4,4,0,"6,18,42,60",better_extreme
