available_on,event,level_kind,level_value,threshold,market_bias_asof,market_bias_after_close,close
2025-04-22 15:59:59.999000+00:00,bos_up,high,88500.0,431.10583333333335,neutral,bullish,90881.2
2025-04-22 19:59:59.999000+00:00,bos_up,high,88500.0,426.6720833333334,bullish,bullish,91356.4
2025-04-22 23:59:59.999000+00:00,bos_up,high,88500.0,435.3529166666668,bullish,bullish,93404.9
2025-04-23 03:59:59.999000+00:00,bos_up,high,88500.0,431.42291666666677,bullish,bullish,93126.0
2025-04-23 07:59:59.999000+00:00,bos_up,high,88500.0,424.52416666666664,bullish,bullish,94102.5
2025-04-23 11:59:59.999000+00:00,bos_up,high,88500.0,420.6704166666666,bullish,bullish,93425.2
2025-04-23 15:59:59.999000+00:00,bos_up,high,88500.0,423.60999999999996,bullish,bullish,93140.3
2025-04-23 19:59:59.999000+00:00,bos_up,high,88500.0,404.6708333333333,bullish,bullish,93436.3
2025-04-23 23:59:59.999000+00:00,bos_up,high,88500.0,400.97625000000005,bullish,bullish,93632.1
2025-04-24 03:59:59.999000+00:00,bos_up,high,88500.0,400.3325000000001,bullish,bullish,92632.9
2025-04-24 07:59:59.999000+00:00,bos_up,high,88500.0,399.2512500000001,bullish,bullish,92166.0
2025-04-24 11:59:59.999000+00:00,bos_up,high,88500.0,400.1620833333333,bullish,bullish,92575.1
2025-04-24 15:59:59.999000+00:00,bos_up,high,88500.0,388.1629166666667,bullish,bullish,93144.8
2025-04-24 19:59:59.999000+00:00,bos_up,high,88500.0,385.5583333333334,bullish,bullish,93497.5
2025-04-24 23:59:59.999000+00:00,bos_up,high,88500.0,387.0037500000001,bullish,bullish,93931.6
2025-04-25 03:59:59.999000+00:00,bos_up,high,88500.0,385.76208333333346,bullish,bullish,93262.9
2025-04-25 07:59:59.999000+00:00,bos_up,high,88500.0,385.4891666666668,bullish,bullish,93734.0
2025-04-25 11:59:59.999000+00:00,bos_up,high,88500.0,380.8879166666668,bullish,bullish,94602.3
2025-04-25 15:59:59.999000+00:00,bos_up,high,88500.0,380.47416666666686,bullish,bullish,94999.8
2025-04-25 19:59:59.999000+00:00,bos_up,high,88500.0,376.21416666666687,bullish,bullish,95229.2
2025-04-25 23:59:59.999000+00:00,bos_up,high,88500.0,374.9541666666669,bullish,bullish,94591.8
2025-04-26 03:59:59.999000+00:00,bos_up,high,88500.0,374.43333333333356,bullish,bullish,94685.0
2025-04-26 07:59:59.999000+00:00,bos_up,high,88500.0,372.52041666666696,bullish,bullish,94520.1
2025-04-26 11:59:59.999000+00:00,bos_up,high,88500.0,372.49375000000026,bullish,bullish,94095.6
2025-04-26 15:59:59.999000+00:00,bos_up,high,88500.0,366.54208333333366,bullish,bullish,94325.0
2025-04-26 19:59:59.999000+00:00,bos_up,high,88500.0,364.446666666667,bullish,bullish,94261.0
2025-04-26 23:59:59.999000+00:00,bos_up,high,88500.0,363.42041666666694,bullish,bullish,94575.7
2025-04-27 03:59:59.999000+00:00,bos_up,high,88500.0,362.8787500000003,bullish,bullish,94121.7
2025-04-27 07:59:59.999000+00:00,bos_up,high,88500.0,361.28875000000033,bullish,bullish,94027.6
2025-04-27 11:59:59.999000+00:00,bos_up,high,88500.0,360.03125000000034,bullish,bullish,93871.1
2025-04-27 15:59:59.999000+00:00,bos_up,high,88500.0,357.51125000000036,bullish,bullish,93857.7
2025-04-27 19:59:59.999000+00:00,bos_up,high,88500.0,352.11916666666707,bullish,bullish,94388.9
2025-04-27 23:59:59.999000+00:00,bos_up,high,88500.0,350.0087500000003,bullish,bullish,93697.1
2025-04-28 03:59:59.999000+00:00,bos_up,high,88500.0,347.2583333333336,bullish,bullish,93799.9
2025-04-28 07:59:59.999000+00:00,bos_up,high,88500.0,347.5133333333336,bullish,bullish,94641.6
2025-04-28 11:59:59.999000+00:00,bos_up,high,88500.0,349.57958333333363,bullish,bullish,95276.1
2025-04-28 15:59:59.999000+00:00,bos_up,high,88500.0,349.4650000000003,bullish,bullish,93772.8
2025-05-01 11:59:59.999000+00:00,bos_up,high,95769.6,348.2550000000002,bullish,bullish,96129.9
2025-05-01 15:59:59.999000+00:00,bos_up,high,95769.6,350.40708333333356,bullish,bullish,96793.9
2025-05-01 19:59:59.999000+00:00,bos_up,high,95769.6,349.8741666666669,bullish,bullish,96459.1
2025-05-01 23:59:59.999000+00:00,bos_up,high,95769.6,351.09666666666686,bullish,bullish,96423.3
2025-05-02 03:59:59.999000+00:00,bos_up,high,95769.6,352.6654166666669,bullish,bullish,97054.9
2025-05-02 07:59:59.999000+00:00,bos_up,high,95769.6,354.8533333333335,bullish,bullish,96302.0
2025-05-02 11:59:59.999000+00:00,bos_up,high,95769.6,356.7975000000001,bullish,bullish,96875.7
2025-05-02 15:59:59.999000+00:00,bos_up,high,95769.6,360.34250000000014,bullish,bullish,97270.1
2025-05-02 19:59:59.999000+00:00,bos_up,high,95769.6,363.19208333333336,bullish,bullish,96856.8
2025-05-02 23:59:59.999000+00:00,bos_up,high,95769.6,364.05625,bullish,bullish,96831.2
2025-05-03 03:59:59.999000+00:00,bos_up,high,95769.6,363.9845833333333,bullish,bullish,96292.1
2025-05-03 07:59:59.999000+00:00,bos_up,high,95769.6,364.37499999999994,bullish,bullish,96290.8
2025-05-03 15:59:59.999000+00:00,bos_up,high,95769.6,365.50708333333324,bullish,bullish,96358.7
2025-05-03 19:59:59.999000+00:00,bos_up,high,95769.6,365.0612499999999,bullish,bullish,96312.0
2025-05-06 23:59:59.999000+00:00,bos_up,high,95769.6,347.6404166666667,bullish,bullish,96798.9
2025-05-07 03:59:59.999000+00:00,bos_up,high,95769.6,348.61500000000007,bullish,bullish,96453.8
2025-05-07 07:59:59.999000+00:00,bos_up,high,95769.6,346.0987500000001,bullish,bullish,96940.0
2025-05-07 11:59:59.999000+00:00,bos_up,high,95769.6,342.4387500000001,bullish,bullish,97000.0
2025-05-07 15:59:59.999000+00:00,bos_up,high,95769.6,333.2108333333335,bullish,bullish,96889.0
2025-05-07 19:59:59.999000+00:00,bos_up,high,95769.6,332.7108333333335,bullish,bullish,96124.6
2025-05-07 23:59:59.999000+00:00,bos_up,high,95769.6,335.4633333333335,bullish,bullish,96988.4
2025-05-08 03:59:59.999000+00:00,bos_up,high,95769.6,340.63125000000014,bullish,bullish,99097.9
2025-05-08 07:59:59.999000+00:00,bos_up,high,95769.6,340.12875000000014,bullish,bullish,99212.0
2025-05-08 11:59:59.999000+00:00,bos_up,high,95769.6,338.86666666666684,bullish,bullish,99369.8
2025-05-08 15:59:59.999000+00:00,bos_up,high,95769.6,344.67458333333343,bullish,bullish,100730.8
2025-05-08 19:59:59.999000+00:00,bos_up,high,95769.6,345.3662500000001,bullish,bullish,101254.2
2025-05-08 23:59:59.999000+00:00,bos_up,high,95769.6,353.95791666666673,bullish,bullish,103228.1
2025-05-09 03:59:59.999000+00:00,bos_up,high,95769.6,350.9525000000001,bullish,bullish,102419.5
