removed,count,pnl,pf,dd,wr,trades,pref,delta_pnl,delta_pf,delta_dd,delta_pref
SOL/USDT,19,188.7296419390492,1.4262567334700962,58.85076089333383,39.705882352941174,476,7.287423259712821,8.66648786102985,0.04431237810823152,-3.167893321352878,1.0670466432255878
XMR/USDT,19,195.6800411249732,1.447859179036441,61.03130296508728,40.42553191489361,470,7.229857535905521,15.616887046953849,0.06591482367457635,-0.9873512495994277,1.009480919418288
TRX/USDT,19,187.2665086603068,1.4088311207522568,58.93910897985217,39.83402489626556,482,7.224542388679476,7.20335458228746,0.026886765390392142,-3.0795452348345336,1.004165772192243
ETH/USDT,19,175.80186586082124,1.4000035615497608,56.90175030170377,39.69957081545064,466,7.045229580476294,-4.261288217198114,0.018059206187896137,-5.116903912982934,0.8248529639890609
LTC/USDT,19,183.37396477491058,1.4168853977002187,61.31605251572038,40.12738853503185,471,6.778145433735482,3.310810696891224,0.034941042338354045,-0.7026016989663262,0.5577688172482489
SUI/USDT,19,172.02145144369663,1.3935572178800206,58.5296529460089,39.186295503211994,467,6.684851672268375,-8.041702634322718,0.011612862518155964,-3.4890012686778036,0.46447505578114257
BTC/USDT,19,177.64640319370778,1.3922835752508742,58.7732804153686,39.57446808510638,470,6.679798843429409,-2.4167508843115684,0.010339219889009543,-3.245373799318102,0.45942222694217616
XLM/USDT,19,164.8991207658538,1.3745729438111154,54.68878760114213,39.61456102783726,467,6.52694159542031,-15.164033312165543,-0.007371411550749274,-7.329866613544574,0.30656497893307755
HBAR/USDT,19,176.50350089389246,1.3928254375546252,59.258984960067785,39.62264150943396,477,6.51516918023655,-3.559653184126887,0.010881082192760516,-2.7596692546189203,0.2947925637493176
BCH/USDT,19,177.9808229398024,1.3971784189454945,59.92457925412891,39.36842105263158,475,6.449353119045458,-2.0823311382169436,0.015234063583629887,-2.0940749605577977,0.22897650255822555
ZEC/USDT,19,173.55132435437648,1.3903793893402183,60.65493500760115,39.82869379014989,467,6.059707275135767,-6.511829723642876,0.008435033978353657,-1.363719207085552,-0.1606693413514657
UNI/USDT,19,161.67566277732897,1.3675901776059776,57.4428144350725,39.61456102783726,467,6.003505315824554,-18.387491300690385,-0.014354177755887099,-4.575839779614206,-0.216871300662679
DOT/USDT,19,163.09991257069527,1.3682585720020164,58.48417573405449,38.97216274089936,467,5.9774650865256795,-16.963241507324085,-0.01368578335984827,-3.5344784806322167,-0.24291152996155319
XRP/USDT,19,160.56086793696423,1.3622673527171572,58.14774660567256,39.39393939393939,462,5.853753083584814,-19.502286141055123,-0.01967700264470751,-3.8709076090141465,-0.3666235329024188
BNB/USDT,19,169.9352996117479,1.3728598127623497,62.70948839674195,39.03966597077244,479,5.562252686429664,-10.127854466271458,-0.009084542599514966,0.6908341820552479,-0.6581239300575685
NEAR/USDT,19,161.9109063874757,1.376054094351592,62.376915242453514,39.30131004366812,458,5.347636823662789,-18.152247690543646,-0.005890261010272679,0.3582610277668081,-0.8727397928244436
ADA/USDT,19,161.75521933433592,1.3563091345519964,64.79718180316314,38.94736842105263,475,4.867221635215092,-18.307934743683433,-0.025635220809868242,2.778527588476436,-1.3531549812721408
LINK/USDT,19,149.72506779821558,1.3371383401375274,64.6528608524396,38.59275053304904,469,4.535338067443403,-30.338086279803775,-0.04480601522433725,2.6342066377528965,-1.6850385490438295
DOGE/USDT,19,143.07536636752377,1.319290623173197,62.0529531103001,38.494623655913976,465,4.435048423446857,-36.98778771049558,-0.06265373218866777,0.034298895613396496,-1.7853281930403755
AVAX/USDT,19,138.0579435180134,1.3024848247853982,62.19373959128347,38.526315789473685,475,4.174514340237141,-42.00521056000596,-0.07945953057646649,0.17508537659676193,-2.0458622762500918
