symbol,total_trades,wins,losses,win_rate,total_pnl,avg_pnl,profit_factor,avg_hold_hours,short_trades,short_wins,short_pnl,long_trades,long_wins,long_pnl,tp_exits,sl_exits,timeout_exits,unfilled
AVAX/USDT,20,12,8,0.6,32.5122919854086,1.62561459927043,3.268632034690341,8.245833347222224,15,10,31.502031329690293,5,2,1.010260655718315,12,8,0,0
DOGE/USDT,30,16,14,0.5333333333333333,31.35060157744,1.0450200525813333,2.5083737316589088,11.929166694444445,26,14,25.87998414727764,4,2,5.470617430162362,16,14,0,0
LINK/USDT,26,14,12,0.5384615384615384,28.967082844058723,1.1141185709253354,2.232681236454027,7.803525683760686,19,11,23.779783986623286,7,3,5.187298857435434,14,12,0,0
ADA/USDT,20,10,10,0.5,20.92234037259283,1.0461170186296416,2.5326716849353357,10.945833347222223,17,9,20.178167979810794,3,1,0.7441723927820356,10,10,0,0
NEAR/USDT,37,15,22,0.40540540540540543,17.70382261192141,0.47848169221409215,1.4746176779053122,6.779617184684687,25,11,15.942276108634978,12,4,1.7615465032864277,15,22,0,0
XRP/USDT,33,13,20,0.3939393939393939,16.360472127983503,0.49577188266616673,1.6317159169036546,16.147853543771046,30,12,14.90081094708748,3,1,1.459661180896024,12,20,1,0
DOT/USDT,28,13,15,0.4642857142857143,14.76766981724787,0.5274167791874239,1.5812146384545613,6.924404791666669,23,11,13.817575070645322,5,2,0.9500947466025482,13,15,0,0
UNI/USDT,28,10,18,0.35714285714285715,10.023012708726942,0.3579647395973908,1.3318639820546672,6.424404821428573,21,8,12.084283375517328,7,2,-2.0612706667903904,10,18,0,0
SUI/USDT,28,12,16,0.42857142857142855,9.090727669355788,0.32466884533413526,1.3194502153437615,8.067261954365081,25,11,8.734961384170331,3,1,0.35576628518545705,12,16,0,0
XLM/USDT,28,10,18,0.35714285714285715,8.601844859092234,0.30720874496757977,1.307642147560341,8.352976210317463,26,10,13.279260743188761,2,0,-4.677415884096526,10,18,0,0
BNB/USDT,16,8,8,0.5,7.656136673468596,0.4785085420917872,1.5214331823361675,22.934375000000003,14,6,-1.265257590786979,2,2,8.921394264255577,7,8,1,0
ETH/USDT,29,10,19,0.3448275862068966,5.1908501926133175,0.17899483422804544,1.18073376376177,11.892385095785444,22,8,8.198963203572621,7,2,-3.0081130109593026,10,19,0,0
ZEC/USDT,28,9,19,0.32142857142857145,5.125711314084668,0.18306111836016672,1.195087368545609,4.848809593253968,20,6,3.5265381973464054,8,3,1.5991731167382617,9,19,0,0
BTC/USDT,25,9,16,0.36,3.855903363904887,0.15423613455619548,1.2557985183028006,15.915833333333335,22,9,6.55862016510388,3,0,-2.7027168011989944,9,16,0,0
BCH/USDT,20,8,12,0.4,2.964422978943995,0.14822114894719976,1.1456113048906675,11.74666666666667,18,6,-3.3535448555716747,2,2,6.3179678345156685,7,12,1,0
HBAR/USDT,18,6,12,0.3333333333333333,1.925071842134674,0.10694843567414855,1.1023619864314043,5.718055586419755,16,5,1.0737836904985905,2,1,0.8512881516360822,6,12,0,0
TRX/USDT,13,3,10,0.23076923076923078,-5.322515434117836,-0.40942426416291045,0.5373290256710055,30.227884658119656,12,3,-3.393109981732842,1,0,-1.9294054523849946,3,9,1,0
LTC/USDT,24,6,18,0.25,-6.3670379644680795,-0.2652932485195033,0.7854731977752131,9.412500034722225,20,5,-4.898947836232475,4,1,-1.4680901282356047,6,18,0,0
SOL/USDT,19,6,13,0.3157894736842105,-8.56251411293302,-0.4506586375227905,0.6657447438770113,8.837938611111113,16,6,-2.55326229912677,3,0,-6.00925181380625,6,13,0,0
XMR/USDT,25,5,20,0.2,-16.702741349439755,-0.6681096539775901,0.49732236725631446,12.715833333333334,22,3,-21.302278581205385,3,2,4.599537231765629,5,20,0,0
