symbol,total_trades,wins,losses,win_rate,total_pnl,avg_pnl,profit_factor,avg_hold_hours,short_trades,short_wins,short_pnl,long_trades,long_wins,long_pnl,tp_exits,sl_exits,timeout_exits,unfilled
ETH/USDT,11,5,6,0.4545,9.0,0.8182,1.8182,9.65,2,0,-3.0,9,5,12.0,5,6,0,0
WIF/USDT,10,5,5,0.5,8.5,0.85,1.8947,5.32,3,2,4.5,7,3,4.0,5,5,0,0
RENDER/USDT,5,3,2,0.6,7.0,1.4,2.75,5.6,1,1,3.0,4,2,4.0,3,2,0,0
BNB/USDT,3,2,1,0.6667,6.0,2.0,4.0,14.08,0,0,0.0,3,2,6.0,2,1,0,0
AVAX/USDT,11,5,6,0.4545,5.5,0.5,1.4783,8.43,4,3,7.5,7,2,-2.0,5,6,0,0
DOGE/USDT,4,2,2,0.5,3.5,0.875,2.0,15.0,2,1,1.5,2,1,2.0,2,2,0,0
ENA/USDT,8,3,5,0.375,1.5,0.1875,1.1579,4.34,2,1,1.5,6,2,-0.0,3,5,0,0
INJ/USDT,12,4,8,0.3333,0.5,0.0417,1.0323,6.7,1,0,-1.5,11,4,2.0,4,8,0,0
ADA/USDT,9,3,6,0.3333,-0.5,-0.0556,0.9565,5.88,2,1,1.5,7,2,-2.0,3,6,0,0
LINK/USDT,12,4,8,0.3333,-0.5,-0.0417,0.9677,7.08,2,1,1.5,10,3,-2.0,4,8,0,0
NEAR/USDT,17,5,12,0.2941,-1.5,-0.0882,0.9302,4.5,5,0,-7.5,12,5,6.0,5,12,0,0
ALGO/USDT,14,4,10,0.2857,-3.0,-0.2143,0.8333,6.57,5,1,-3.0,9,3,-0.0,4,10,0,0
XRP/USDT,6,1,5,0.1667,-5.5,-0.9167,0.4211,7.16,1,0,-1.5,5,1,-4.0,1,5,0,0
SOL/USDT,11,2,9,0.1818,-10.0,-0.9091,0.4444,7.06,0,0,0.0,11,2,-10.0,2,9,0,0
APT/USDT,6,0,6,0.0,-11.5,-1.9167,0.0,3.95,1,0,-1.5,5,0,-10.0,0,6,0,0
