window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
OOS4_JAN21_BREAKOUT,oos4,ALGO/USDT,LONG,2021-01-03T15:59:59.999000+00:00,2021-01-03T16:00:14.999000+00:00,2021-01-03T19:29:59.999000+00:00,3.5,0.4187,0.4107447,0.4358667,0.4107447,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 29.16, ""rsi"": 50.98, ""atr_ratio"": 0.962, ""pullback_depth"": 0.272, ""mom_slope"": 0.000134, ""reclaim_strength"": 0.777}"
OOS4_JAN21_BREAKOUT,oos4,AVAX/USDT,LONG,2021-01-03T21:14:59.999000+00:00,2021-01-03T21:15:14.999000+00:00,2021-01-03T22:14:59.999000+00:00,1.0,3.6328,3.5637768,3.7817448,3.5637768,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 27.41, ""rsi"": 51.04, ""atr_ratio"": 0.989, ""pullback_depth"": 0.59, ""mom_slope"": 0.002651, ""reclaim_strength"": 0.475}"
OOS4_JAN21_BREAKOUT,oos4,LINK/USDT,LONG,2021-01-06T02:14:59.999000+00:00,2021-01-06T02:15:14.999000+00:00,2021-01-06T10:29:59.999000+00:00,8.25,14.406,14.996646,14.996646,14.132286,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 19.9, ""rsi"": 52.44, ""atr_ratio"": 0.832, ""pullback_depth"": 0.525, ""mom_slope"": 0.01063, ""reclaim_strength"": 0.759}"
OOS4_JAN21_BREAKOUT,oos4,ETH/USDT,LONG,2021-01-06T03:59:59.999000+00:00,2021-01-06T04:00:14.999000+00:00,2021-01-06T05:00:00+00:00,1.0,1074.9,1118.9709,1118.9709,1054.4769000000001,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 39.3, ""rsi"": 51.98, ""atr_ratio"": 0.854, ""pullback_depth"": 0.094, ""mom_slope"": 0.899302, ""reclaim_strength"": 0.676}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,SHORT,2021-01-06T04:29:59.999000+00:00,2021-01-06T04:30:14.999000+00:00,2021-01-06T11:14:59.999000+00:00,6.75,0.2295,0.232713,0.2223855,0.232713,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.0,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -1.9e-05, ""rsi"": 56.9, ""atr_ratio"": 0.71, ""sq_count"": 9.0}"
OOS4_JAN21_BREAKOUT,oos4,ALGO/USDT,LONG,2021-01-06T10:29:59.999000+00:00,2021-01-06T10:30:14.999000+00:00,2021-01-06T12:59:59.999000+00:00,2.5,0.4821,0.5018661,0.5018661,0.4729401,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 20.29, ""rsi"": 53.41, ""atr_ratio"": 0.998, ""pullback_depth"": 0.133, ""mom_slope"": 0.0, ""reclaim_strength"": 0.889}"
OOS4_JAN21_BREAKOUT,oos4,ETH/USDT,LONG,2021-01-06T20:29:59.999000+00:00,2021-01-06T20:30:14.999000+00:00,2021-01-07T00:14:59.999000+00:00,3.75,1171.74,1219.78134,1219.78134,1149.47694,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 21.39, ""rsi"": 54.41, ""atr_ratio"": 0.879, ""pullback_depth"": 0.886, ""mom_slope"": 1.481927, ""reclaim_strength"": 2.004}"
OOS4_JAN21_BREAKOUT,oos4,ALGO/USDT,LONG,2021-01-07T03:44:59.999000+00:00,2021-01-07T03:45:14.999000+00:00,2021-01-07T04:44:59.999000+00:00,1.0,0.5087,0.49903470000000005,0.5295567,0.49903470000000005,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 13.0, ""rsi"": 53.24, ""atr_ratio"": 1.081, ""pullback_depth"": 0.082, ""mom_slope"": 0.000248, ""reclaim_strength"": 0.834}"
OOS4_JAN21_BREAKOUT,oos4,ETH/USDT,LONG,2021-01-07T08:44:59.999000+00:00,2021-01-07T08:45:14.999000+00:00,2021-01-07T15:44:59.999000+00:00,7.0,1191.46,1240.3098599999998,1240.3098599999998,1168.82226,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 19.04, ""rsi"": 53.05, ""atr_ratio"": 0.806, ""pullback_depth"": 1.515, ""mom_slope"": 0.774252, ""reclaim_strength"": 0.496}"
OOS4_FEB21_MANIA,oos4,ADA/USDT,LONG,2021-02-04T02:14:59.999000+00:00,2021-02-04T02:15:14.999000+00:00,2021-02-04T03:44:59.999000+00:00,1.5,0.4421,0.4337001,0.46022609999999997,0.4337001,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 27.35, ""rsi"": 53.38, ""atr_ratio"": 0.813, ""pullback_depth"": 0.106, ""mom_slope"": 0.000324, ""reclaim_strength"": 1.724}"
