symbol,total_trades,wins,losses,win_rate,total_pnl,avg_pnl,profit_factor,avg_hold_hours,short_trades,short_wins,short_pnl,long_trades,long_wins,long_pnl,tp_exits,sl_exits,timeout_exits,unfilled
AVAX/USDT,20,12,8,0.6,32.306,1.6153,3.2937,8.25,15,10,31.2958,5,2,1.0103,12,8,0,0
DOGE/USDT,30,16,14,0.5333,31.865,1.0622,2.6278,11.93,26,14,26.3943,4,2,5.4706,16,14,0,0
LINK/USDT,26,14,12,0.5385,28.3244,1.0894,2.2251,7.8,19,11,23.1371,7,3,5.1873,14,12,0,0
WIF/USDT,21,10,11,0.4762,23.4709,1.1177,2.5163,5.09,15,6,8.5476,6,4,14.9234,10,11,0,0
ADA/USDT,20,10,10,0.5,21.5466,1.0773,2.5784,10.95,17,9,20.8024,3,1,0.7442,10,10,0,0
NEAR/USDT,37,15,22,0.4054,21.4831,0.5806,1.6185,6.78,25,11,19.7216,12,4,1.7615,15,22,0,0
RENDER/USDT,17,9,8,0.5294,16.9206,0.9953,2.3041,5.58,13,7,11.7162,4,2,5.2044,9,8,0,0
ALGO/USDT,27,12,15,0.4444,16.5471,0.6129,1.7816,10.66,24,10,12.7463,3,2,3.8008,12,15,0,0
XRP/USDT,33,13,20,0.3939,14.1457,0.4287,1.5679,16.15,30,12,12.6861,3,1,1.4597,12,20,1,0
ENA/USDT,23,8,15,0.3478,7.932,0.3449,1.43,3.39,18,6,7.0015,5,2,0.9305,8,15,0,0
BNB/USDT,16,8,8,0.5,7.7451,0.4841,1.5307,22.93,14,6,-1.1763,2,2,8.9214,7,8,1,0
APT/USDT,20,8,12,0.4,6.459,0.3229,1.3694,5.7,19,8,8.38,1,0,-1.921,8,12,0,0
ETH/USDT,29,10,19,0.3448,5.7705,0.199,1.206,11.89,22,8,8.7787,7,2,-3.0081,10,19,0,0
INJ/USDT,37,13,24,0.3514,2.2779,0.0616,1.0514,6.94,26,9,2.2345,11,4,0.0434,13,24,0,0
SOL/USDT,19,6,13,0.3158,-6.577,-0.3462,0.7278,8.84,16,6,-0.5678,3,0,-6.0093,6,13,0,0
