symbol,total_trades,wins,losses,win_rate,total_pnl,avg_pnl,profit_factor,avg_hold_hours,short_trades,short_wins,short_pnl,long_trades,long_wins,long_pnl,tp_exits,sl_exits,timeout_exits,unfilled
ENA/USDT,4,3,1,0.75,6.4919,1.623,6.5373,2.25,1,1,1.9911,3,2,4.5008,3,1,0,0
AVAX/USDT,1,1,0,1.0,4.2097,4.2097,inf,12.0,0,0,0.0,1,1,4.2097,1,0,0,0
INJ/USDT,3,2,1,0.6667,4.094,1.3647,2.6055,9.0,1,0,-2.55,2,2,6.644,2,1,0,0
APT/USDT,1,1,0,1.0,2.06,2.06,inf,6.0,1,1,2.06,0,0,0.0,1,0,0,0
LINK/USDT,2,1,1,0.5,1.5608,0.7804,1.9311,5.0,1,0,-1.6764,1,1,3.2372,1,1,0,0
RENDER/USDT,2,1,1,0.5,1.5517,0.7758,1.6085,9.0,1,0,-2.55,1,1,4.1017,1,1,0,0
ALGO/USDT,2,1,1,0.5,1.0574,0.5287,1.4297,7.0,1,0,-2.4607,1,1,3.5181,1,1,0,0
SOL/USDT,2,1,1,0.5,0.0945,0.0472,1.049,11.0,1,1,2.0225,1,0,-1.928,1,1,0,0
ETH/USDT,3,1,2,0.3333,-0.9947,-0.3316,0.7632,5.0,2,0,-4.2009,1,1,3.2062,1,2,0,0
ADA/USDT,1,0,1,0.0,-1.3607,-1.3607,0.0,1.0,1,0,-1.3607,0,0,0.0,0,1,0,0
NEAR/USDT,2,0,2,0.0,-3.6057,-1.8029,0.0,2.5,1,0,-1.4512,1,0,-2.1545,0,2,0,0
