window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
OOS2_BULL25,oos2,ETH/USDT,SHORT,2025-05-06T10:59:59.999000+00:00,2025-05-06T11:00:14.999000+00:00,2025-05-06T22:59:59.999000+00:00,12.0,1784.66,1809.64524,1729.33554,1809.64524,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.7,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.991383, ""rsi"": 34.9, ""atr_ratio"": 1.0, ""sq_count"": 12.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 4, ""cluster_total"": 4, ""size_mult"": 1.7}"
OOS2_BULL25,oos2,INJ/USDT,SHORT,2025-05-06T10:59:59.999000+00:00,2025-05-06T11:00:14.999000+00:00,2025-05-06T18:59:59.999000+00:00,8.0,9.082,9.209148,8.800458,9.209148,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.7,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.009869, ""rsi"": 34.0, ""atr_ratio"": 0.99, ""sq_count"": 7.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 4, ""cluster_total"": 4, ""size_mult"": 1.7}"
OOS2_BULL25,oos2,ALGO/USDT,SHORT,2025-05-06T10:59:59.999000+00:00,2025-05-06T11:00:14.999000+00:00,2025-05-06T14:59:59.999000+00:00,4.0,0.193,0.19570200000000001,0.187017,0.19570200000000001,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.6404789999366196,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.000117, ""rsi"": 31.9, ""atr_ratio"": 1.07, ""sq_count"": 7.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 4, ""cluster_total"": 4, ""size_mult"": 1.640479}"
OOS2_BULL25,oos2,RENDER/USDT,SHORT,2025-05-06T10:59:59.999000+00:00,2025-05-06T11:00:14.999000+00:00,2025-05-06T14:59:59.999000+00:00,4.0,4.199,4.257786,4.068830999999999,4.257786,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,1.7,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.003224, ""rsi"": 34.6, ""atr_ratio"": 1.05, ""sq_count"": 8.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 4, ""cluster_total"": 4, ""size_mult"": 1.7}"
OOS2_BULL25,oos2,NEAR/USDT,SHORT,2025-05-06T11:59:59.999000+00:00,2025-05-06T12:00:14.999000+00:00,2025-05-06T14:59:59.999000+00:00,3.0,2.274,2.305836,2.203506,2.305836,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.9674956202799448,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.002333, ""rsi"": 34.5, ""atr_ratio"": 0.97, ""sq_count"": 9.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.967496}"
OOS2_BULL25,oos2,ADA/USDT,SHORT,2025-05-06T13:59:59.999000+00:00,2025-05-06T14:00:14.999000+00:00,2025-05-06T15:00:00+00:00,1.0,0.6467,0.6557538,0.6266523,0.6557538,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.9071430752596624,72,"{""strategy"": ""squeeze_v8.2_short"", ""mom"": -0.000754, ""rsi"": 34.5, ""atr_ratio"": 0.93, ""sq_count"": 8.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.907143}"
OOS2_BULL25,oos2,INJ/USDT,LONG,2025-05-10T02:59:59.999000+00:00,2025-05-10T03:00:14.999000+00:00,2025-05-10T17:59:59.999000+00:00,15.0,11.957,12.447237,12.447237,11.729817,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,0.8258109428905951,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 28.78, ""rsi"": 66.43, ""atr_ratio"": 1.145, ""pullback_depth"": 0.22, ""mom_slope"": 0.000457, ""reclaim_strength"": 0.773, ""size_model"": ""ridge_v1"", ""cluster_side"": 2, ""cluster_total"": 2, ""size_mult"": 0.825811}"
OOS2_BULL25,oos2,RENDER/USDT,LONG,2025-05-10T02:59:59.999000+00:00,2025-05-10T03:00:14.999000+00:00,2025-05-10T16:59:59.999000+00:00,14.0,5.005,5.210204999999999,5.210204999999999,4.909905,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.0254198783289745,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 15.73, ""rsi"": 63.1, ""atr_ratio"": 1.046, ""pullback_depth"": 0.264, ""mom_slope"": 0.001575, ""reclaim_strength"": 0.664, ""size_model"": ""ridge_v1"", ""cluster_side"": 2, ""cluster_total"": 2, ""size_mult"": 1.02542}"
OOS2_BULL25,oos2,AVAX/USDT,LONG,2025-05-10T05:59:59.999000+00:00,2025-05-10T06:00:14.999000+00:00,2025-05-10T17:59:59.999000+00:00,12.0,23.831,24.808070999999998,24.808070999999998,23.378211,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.052416455590981,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 20.72, ""rsi"": 67.23, ""atr_ratio"": 1.099, ""pullback_depth"": 0.04, ""mom_slope"": 0.007035, ""reclaim_strength"": 1.508, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 1.052416}"
OOS2_BULL25,oos2,LINK/USDT,LONG,2025-05-10T12:59:59.999000+00:00,2025-05-10T13:00:14.999000+00:00,2025-05-10T21:59:59.999000+00:00,9.0,16.328,16.997448,16.997448,16.017768,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,0.8092968330033741,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 18.44, ""rsi"": 58.85, ""atr_ratio"": 1.097, ""pullback_depth"": 0.227, ""mom_slope"": 0.015905, ""reclaim_strength"": 0.912, ""size_model"": ""ridge_v1"", ""cluster_side"": 3, ""cluster_total"": 3, ""size_mult"": 0.809297}"
