symbol,total_trades,wins,losses,win_rate,total_pnl,avg_pnl,profit_factor,avg_hold_hours,short_trades,short_wins,short_pnl,long_trades,long_wins,long_pnl,tp_exits,sl_exits,timeout_exits,unfilled
LINK/USDT,27,17,10,0.6296,43.6536,1.6168,3.4315,8.74,20,14,38.4663,7,3,5.1873,17,10,0,0
DOGE/USDT,32,18,14,0.5625,35.8811,1.1213,2.9387,10.73,28,16,30.4105,4,2,5.4706,18,14,0,0
AVAX/USDT,21,13,8,0.619,30.0248,1.4298,3.3225,9.11,16,11,29.0146,5,2,1.0103,13,8,0,0
ADA/USDT,21,12,9,0.5714,22.9357,1.0922,2.8745,7.98,18,11,22.1915,3,1,0.7442,12,9,0,0
INJ/USDT,37,16,21,0.4324,20.0165,0.541,1.5569,8.93,26,12,19.9731,11,4,0.0434,16,21,0,0
ALGO/USDT,29,13,16,0.4483,19.6648,0.6781,1.9413,9.7,26,11,15.8641,3,2,3.8008,13,16,0,0
RENDER/USDT,20,11,9,0.55,19.1442,0.9572,2.4665,5.47,16,9,13.9398,4,2,5.2044,11,9,0,0
NEAR/USDT,37,15,22,0.4054,16.1938,0.4377,1.4719,7.34,25,11,14.4323,12,4,1.7615,15,22,0,0
WIF/USDT,23,9,14,0.3913,11.7425,0.5105,1.5619,4.12,17,5,-3.1808,6,4,14.9234,9,14,0,0
APT/USDT,26,9,17,0.3462,5.6767,0.2183,1.254,4.68,25,9,7.5977,1,0,-1.921,9,17,0,0
ETH/USDT,30,10,20,0.3333,4.0927,0.1364,1.1421,11.71,23,8,7.1008,7,2,-3.0081,10,20,0,0
XRP/USDT,36,12,24,0.3333,3.1607,0.0878,1.1083,17.01,33,11,1.7011,3,1,1.4597,11,23,2,0
ENA/USDT,25,8,17,0.32,0.0124,0.0005,1.0005,2.38,20,6,-0.9181,5,2,0.9305,8,17,0,0
BNB/USDT,19,6,13,0.3158,-2.3709,-0.1248,0.8753,20.33,17,4,-11.2923,2,2,8.9214,5,13,1,0
SOL/USDT,21,5,16,0.2381,-10.659,-0.5076,0.591,10.89,18,5,-4.6497,3,0,-6.0093,5,16,0,0
