window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
OOS4_JAN21_BREAKOUT,oos4,ALGO/USDT,SHORT,2021-01-01T00:44:59.999000+00:00,2021-01-01T00:45:14.999000+00:00,2021-01-01T01:00:00+00:00,0.25,0.3388,0.3435432,0.32829719999999996,0.3435432,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.5644003838370565,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-01-01T00:00:00+00:00"", ""mom"": -6.3e-05, ""rsi"": 61.8, ""atr_ratio"": 0.79, ""sq_count"": 14.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.5644}"
OOS4_JAN21_BREAKOUT,oos4,ADA/USDT,SHORT,2021-01-01T02:14:59.999000+00:00,2021-01-01T02:15:14.999000+00:00,2021-01-01T07:59:59.999000+00:00,5.75,0.18437,0.17865453,0.17865453,0.18695118000000002,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,0.5449295075044472,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-01-01T02:00:00+00:00"", ""mom"": -6e-06, ""rsi"": 58.4, ""atr_ratio"": 0.58, ""sq_count"": 9.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.54493}"
OOS4_JAN21_BREAKOUT,oos4,ETH/USDT,SHORT,2021-01-01T18:14:59.999000+00:00,2021-01-01T18:15:14.999000+00:00,2021-01-02T06:59:59.999000+00:00,12.75,731.34,741.57876,708.66846,741.57876,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.8775960812827142,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-01-01T18:00:00+00:00"", ""mom"": -0.507797, ""rsi"": 43.6, ""atr_ratio"": 0.74, ""sq_count"": 10.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.877596}"
OOS4_JAN21_BREAKOUT,oos4,ADA/USDT,SHORT,2021-01-01T18:29:59.999000+00:00,2021-01-01T18:30:14.999000+00:00,2021-01-01T19:00:00+00:00,0.5,0.17776,0.17224944,0.17224944,0.18024864000000002,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,0.7658012537712586,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-01-01T18:00:00+00:00"", ""mom"": -0.000187, ""rsi"": 41.3, ""atr_ratio"": 0.76, ""sq_count"": 10.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.765801}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,LONG,2021-01-01T20:59:59.999000+00:00,2021-01-01T21:00:14.999000+00:00,2021-01-02T00:59:59.999000+00:00,4.0,0.2372,0.2326932,0.24692519999999998,0.2326932,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.1656806398964432,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.18, ""rsi"": 56.21, ""atr_ratio"": 0.767, ""pullback_depth"": 0.438, ""mom_slope"": 0.000551, ""reclaim_strength"": 0.305, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 1.165681}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,SHORT,2021-01-02T07:14:59.999000+00:00,2021-01-02T07:15:14.999000+00:00,2021-01-02T08:59:59.999000+00:00,1.75,0.2362,0.2288778,0.2288778,0.2395068,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,0.5990775248322233,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-01-02T07:00:00+00:00"", ""mom"": -0.000169, ""rsi"": 52.8, ""atr_ratio"": 0.56, ""sq_count"": 11.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.599078}"
OOS4_JAN21_BREAKOUT,oos4,ETH/USDT,SHORT,2021-01-02T08:14:59.999000+00:00,2021-01-02T08:15:14.999000+00:00,2021-01-02T12:59:59.999000+00:00,4.75,732.51,742.76514,709.80219,742.76514,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.8942914457986002,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-01-02T08:00:00+00:00"", ""mom"": -0.118135, ""rsi"": 48.8, ""atr_ratio"": 0.76, ""sq_count"": 7.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.894291}"
OOS4_JAN21_BREAKOUT,oos4,ALGO/USDT,LONG,2021-01-03T23:59:59.999000+00:00,2021-01-04T00:00:14.999000+00:00,2021-01-04T01:00:00+00:00,1.0,0.4253,0.4427373,0.4427373,0.4172193,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,0.5461105123629227,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 27.28, ""rsi"": 56.77, ""atr_ratio"": 0.893, ""pullback_depth"": 0.582, ""mom_slope"": 0.0004, ""reclaim_strength"": 0.775, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.546111}"
OOS4_JAN21_BREAKOUT,oos4,XRP/USDT,SHORT,2021-01-04T20:14:59.999000+00:00,2021-01-04T20:15:14.999000+00:00,2021-01-04T22:59:59.999000+00:00,2.75,0.231,0.23423400000000003,0.223839,0.23423400000000003,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.4533045350857351,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-01-04T20:00:00+00:00"", ""mom"": -0.000401, ""rsi"": 49.7, ""atr_ratio"": 1.32, ""sq_count"": 10.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.453305}"
OOS4_JAN21_BREAKOUT,oos4,ADA/USDT,LONG,2021-01-05T06:59:59.999000+00:00,2021-01-05T07:00:14.999000+00:00,2021-01-05T08:59:59.999000+00:00,2.0,0.2192,0.22818719999999998,0.22818719999999998,0.2150352,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.020103429010936,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 26.18, ""rsi"": 56.06, ""atr_ratio"": 1.198, ""pullback_depth"": 0.932, ""mom_slope"": 0.000265, ""reclaim_strength"": 0.546, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 1.020103}"
