window,category,symbol,direction,signal_date,entry_time,exit_time,hold_hours,entry_price,exit_price,tp_price,sl_price,tp_pct,sl_pct,exit_reason,resolution_level,pnl_pct,gross_pnl_pct,fee_drag_pct,leverage,size_multiplier,max_holding_hours,metadata
OOS4_FEB21_MANIA,oos4,SOL/USDT,LONG,2021-02-04T10:59:59.999000+00:00,2021-02-04T11:00:14.999000+00:00,2021-02-04T15:59:59.999000+00:00,5.0,5.8165,5.7059865,6.0549764999999995,5.7059865,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0992189730590862,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 33.65, ""rsi"": 58.75, ""atr_ratio"": 1.191, ""pullback_depth"": 1.036, ""mom_slope"": 0.022141, ""reclaim_strength"": 0.366, ""size_model"": ""ridge_v1"", ""cluster_side"": 2, ""cluster_total"": 2, ""size_mult"": 1.099219}"
OOS4_FEB21_MANIA,oos4,BNB/USDT,LONG,2021-02-04T10:59:59.999000+00:00,2021-02-04T11:00:14.999000+00:00,2021-02-04T19:59:59.999000+00:00,9.0,53.01,55.183409999999995,55.183409999999995,52.00281,4.0,2.0,TP,1h,4.0,4.1,0.1,1.0,1.6652744522222438,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 12.46, ""rsi"": 59.92, ""atr_ratio"": 0.974, ""pullback_depth"": 1.204, ""mom_slope"": 0.093064, ""reclaim_strength"": 1.001, ""size_model"": ""ridge_v1"", ""cluster_side"": 2, ""cluster_total"": 2, ""size_mult"": 1.665274}"
OOS4_FEB21_MANIA,oos4,NEAR/USDT,SHORT,2021-02-04T15:14:59.999000+00:00,2021-02-04T15:15:14.999000+00:00,2021-02-04T16:59:59.999000+00:00,1.75,2.4729,2.5075206000000003,2.3962401,2.5075206000000003,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.7725742696024781,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-02-04T15:00:00+00:00"", ""mom"": -0.005221, ""rsi"": 41.8, ""atr_ratio"": 1.22, ""sq_count"": 8.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.772574}"
OOS4_FEB21_MANIA,oos4,DOGE/USDT,LONG,2021-02-06T04:59:59.999000+00:00,2021-02-06T05:00:14.999000+00:00,2021-02-06T06:00:00+00:00,1.0,0.050973,0.050004512999999993,0.05306289299999999,0.050004512999999993,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,0.77294927237624,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 55.04, ""rsi"": 66.89, ""atr_ratio"": 0.594, ""pullback_depth"": 0.2, ""mom_slope"": 0.000139, ""reclaim_strength"": 2.979, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.772949}"
OOS4_FEB21_MANIA,oos4,XRP/USDT,SHORT,2021-02-06T07:14:59.999000+00:00,2021-02-06T07:15:14.999000+00:00,2021-02-06T08:59:59.999000+00:00,1.75,0.4368,0.4429152,0.4232592,0.4429152,3.0,1.5,SL,1h,-1.5,-1.4,0.1,1.0,0.7257122900430805,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-02-06T07:00:00+00:00"", ""mom"": -0.000828, ""rsi"": 48.5, ""atr_ratio"": 0.78, ""sq_count"": 14.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.725712}"
OOS4_FEB21_MANIA,oos4,ETH/USDT,SHORT,2021-02-07T02:14:59.999000+00:00,2021-02-07T02:15:14.999000+00:00,2021-02-07T04:59:59.999000+00:00,2.75,1641.5,1590.6135,1590.6135,1664.481,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,0.9231993201226238,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-02-07T02:00:00+00:00"", ""mom"": -0.941669, ""rsi"": 36.7, ""atr_ratio"": 0.82, ""sq_count"": 9.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.923199}"
OOS4_FEB21_MANIA,oos4,LINK/USDT,SHORT,2021-02-07T03:14:59.999000+00:00,2021-02-07T03:15:14.999000+00:00,2021-02-07T04:59:59.999000+00:00,1.75,24.63,23.86647,23.86647,24.974819999999998,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,1.043589479901767,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-02-07T03:00:00+00:00"", ""mom"": -0.038487, ""rsi"": 38.6, ""atr_ratio"": 0.84, ""sq_count"": 7.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 1.043589}"
OOS4_FEB21_MANIA,oos4,ALGO/USDT,LONG,2021-02-07T03:59:59.999000+00:00,2021-02-07T04:00:14.999000+00:00,2021-02-07T05:00:00+00:00,1.0,0.8132,0.7977492,0.8465412,0.7977492,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,0.9509103209372362,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 14.17, ""rsi"": 53.34, ""atr_ratio"": 1.114, ""pullback_depth"": 0.644, ""mom_slope"": 0.00258, ""reclaim_strength"": 0.522, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.95091}"
OOS4_FEB21_MANIA,oos4,NEAR/USDT,LONG,2021-02-09T03:59:59.999000+00:00,2021-02-09T04:00:14.999000+00:00,2021-02-09T10:59:59.999000+00:00,7.0,3.3825,3.3182324999999997,3.5211824999999997,3.3182324999999997,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,0.6645086238469184,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 26.34, ""rsi"": 54.79, ""atr_ratio"": 0.977, ""pullback_depth"": 0.165, ""mom_slope"": 0.009127, ""reclaim_strength"": 0.366, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.664509}"
OOS4_FEB21_MANIA,oos4,DOGE/USDT,SHORT,2021-02-09T15:14:59.999000+00:00,2021-02-09T15:15:14.999000+00:00,2021-02-09T16:00:00+00:00,0.75,0.074153,0.07185425699999999,0.07185425699999999,0.075191142,3.0,1.5,TP,1h,3.0,3.1,0.1,1.0,0.8784400435544484,72,"{""strategy"": ""squeeze_v8.2_short"", ""analysis_interval"": ""1h"", ""poll_interval"": ""15m"", ""source_period_start"": ""2021-02-09T15:00:00+00:00"", ""mom"": -0.00019, ""rsi"": 34.2, ""atr_ratio"": 0.7, ""sq_count"": 16.0, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 0.87844}"
OOS4_FEB21_MANIA,oos4,ETH/USDT,LONG,2021-02-10T01:59:59.999000+00:00,2021-02-10T02:00:14.999000+00:00,2021-02-10T04:59:59.999000+00:00,3.0,1807.45,1773.10845,1881.5554499999998,1773.10845,4.0,2.0,SL,1h,-2.0,-1.9,0.1,1.0,1.0759687984855641,72,"{""strategy"": ""pullback_long"", ""ret_72h"": 10.11, ""rsi"": 64.18, ""atr_ratio"": 0.829, ""pullback_depth"": 0.017, ""mom_slope"": 0.961677, ""reclaim_strength"": 1.592, ""size_model"": ""ridge_v1"", ""cluster_side"": 1, ""cluster_total"": 1, ""size_mult"": 1.075969}"
